Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	71	2	0.15258073806762695	B22CA15data0
1	104	2	0.15157723426818848	B22CA15data1
2	131	2	0.11966252326965332	B22CA15data2
3	170	2	0.27382516860961914	B22CA15data3
4	121	3	0.15260910987854004	B22CA15data4
5	105	2	0.11825132369995117	B22CA15data5
6	105	2	0.1645500659942627	B22CA15data6
7	164	3	0.16693854331970215	B22CA15data7
8	114	2	0.15060138702392578	B22CA15data8
9	86	2	0.16058897972106934	B22CA15data9
10	160	2	0.09472775459289551	B22CA15data10
11	97	2	0.1649770736694336	B22CA15data11
12	100	2	0.13962626457214355	B22CA15data12
13	54	2	0.20644712448120117	B22CA15data13
14	132	2	0.21654629707336426	B22CA15data14
15	111	2	0.21247005462646484	B22CA15data15
16	139	2	0.12063050270080566	B22CA15data16
17	119	2	0.16103911399841309	B22CA15data17
18	96	2	0.16961193084716797	B22CA15data18
19	51	2	0.2962920665740967	B22CA15data19
20	152	2	0.10671567916870117	B22CA15data20
21	106	2	0.17852067947387695	B22CA15data21
22	102	2	0.16755175590515137	B22CA15data22
23	98	2	0.15857648849487305	B22CA15data23
24	60	2	0.28026771545410156	B22CA15data24
25	139	2	0.15558671951293945	B22CA15data25
26	132	2	0.08930468559265137	B22CA15data26
27	104	2	0.15310430526733398	B22CA15data27
28	106	2	0.15704798698425293	B22CA15data28
29	161	2	0.16554641723632812	B22CA15data29
30	152	3	0.15659427642822266	B22CA15data30
31	95	2	0.16254973411560059	B22CA15data31
32	57	2	0.1216742992401123	B22CA15data32
33	128	2	0.21692562103271484	B22CA15data33
34	144	2	0.16028857231140137	B22CA15data34
35	147	2	0.17573976516723633	B22CA15data35
36	158	2	0.10108304023742676	B22CA15data36
37	80	2	0.2105417251586914	B22CA15data37
38	162	3	0.17554521560668945	B22CA15data38
39	61	2	0.15957379341125488	B22CA15data39
40	102	2	0.12268972396850586	B22CA15data40
41	65	2	0.27626752853393555	B22CA15data41
42	145	2	0.2094278335571289	B22CA15data42
43	145	2	0.2104349136352539	B22CA15data43
44	131	2	0.2883329391479492	B22CA15data44
45	102	2	0.2772557735443115	B22CA15data45
46	97	2	0.3669741153717041	B22CA15data46
47	131	2	0.2144148349761963	B22CA15data47
48	109	2	0.16954398155212402	B22CA15data48
49	154	2	0.2931971549987793	B22CA15data49
50	103	2	0.15259242057800293	B22CA15data50
51	116	2	0.15059924125671387	B22CA15data51
52	118	2	0.1266624927520752	B22CA15data52
53	73	2	0.10172057151794434	B22CA15data53
54	117	2	0.13550543785095215	B22CA15data54
55	110	2	0.10174322128295898	B22CA15data55
56	97	2	0.09023737907409668	B22CA15data56
57	65	2	0.1526188850402832	B22CA15data57
58	90	2	0.1655566692352295	B22CA15data58
59	143	2	0.16055870056152344	B22CA15data59
