Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	304	6	0.4335145950317383	B33CA15data0
1	300	6	0.2842257022857666	B33CA15data1
2	273	6	0.1834733486175537	B33CA15data2
3	310	6	0.27924370765686035	B33CA15data3
4	272	6	0.3415210247039795	B33CA15data4
5	281	6	0.12765789031982422	B33CA15data5
6	282	6	0.3654294013977051	B33CA15data6
7	315	6	0.26631879806518555	B33CA15data7
8	248	6	0.8514902591705322	B33CA15data8
9	370	6	0.5470569133758545	B33CA15data9
10	339	6	0.15860986709594727	B33CA15data10
11	273	6	0.24200773239135742	B33CA15data11
12	294	6	0.27025914192199707	B33CA15data12
13	292	6	0.4099307060241699	B33CA15data13
14	432	6	0.3201453685760498	B33CA15data14
15	388	6	0.22580313682556152	B33CA15data15
16	228	6	0.43541526794433594	B33CA15data16
17	249	6	0.18650412559509277	B33CA15data17
18	370	6	0.8584949970245361	B33CA15data18
19	269	6	0.310793399810791	B33CA15data19
20	258	6	0.32698917388916016	B33CA15data20
21	280	6	0.2433459758758545	B33CA15data21
22	376	6	0.267059326171875	B33CA15data22
23	294	6	0.37993836402893066	B33CA15data23
24	276	6	0.30019593238830566	B33CA15data24
25	307	6	0.19248461723327637	B33CA15data25
26	319	6	0.24534010887145996	B33CA15data26
27	344	6	0.17357611656188965	B33CA15data27
28	394	6	0.15757393836975098	B33CA15data28
29	378	6	0.21591901779174805	B33CA15data29
30	242	6	0.22144508361816406	B33CA15data30
31	237	6	0.4777226448059082	B33CA15data31
32	398	7	0.5012001991271973	B33CA15data32
33	361	6	0.4926745891571045	B33CA15data33
34	208	6	0.25031328201293945	B33CA15data34
35	321	6	0.19447970390319824	B33CA15data35
36	338	6	0.22438478469848633	B33CA15data36
37	383	6	0.17653155326843262	B33CA15data37
38	197	6	0.16556477546691895	B33CA15data38
39	373	6	0.29266905784606934	B33CA15data39
40	237	6	0.19946670532226562	B33CA15data40
41	292	6	0.4421403408050537	B33CA15data41
42	288	6	0.22739076614379883	B33CA15data42
43	351	6	0.170546293258667	B33CA15data43
44	272	6	0.1506059169769287	B33CA15data44
45	381	7	0.28524231910705566	B33CA15data45
46	298	6	0.15856575965881348	B33CA15data46
47	337	6	0.36010313034057617	B33CA15data47
48	198	7	0.3576085567474365	B33CA15data48
49	306	6	0.5924222469329834	B33CA15data49
50	298	7	0.32225728034973145	B33CA15data50
51	386	6	0.23198413848876953	B33CA15data51
52	188	6	0.48309898376464844	B33CA15data52
53	467	6	0.33812522888183594	B33CA15data53
54	388	6	0.6996021270751953	B33CA15data54
55	308	6	0.44171738624572754	B33CA15data55
56	391	6	0.3101615905761719	B33CA15data56
57	314	6	0.23436236381530762	B33CA15data57
58	276	7	0.30318570137023926	B33CA15data58
59	294	6	0.2263774871826172	B33CA15data59
