Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	5093	76	14.23814225	B11CA15NAV3data0
1	4641	75	12.96777749	B11CA15NAV3data1
2	5215	81	20.79855657	B11CA15NAV3data2
3	4301	68	11.27363801	B11CA15NAV3data3
4	4556	69	10.83311987	B11CA15NAV3data4
5	4033	65	8.25039959	B11CA15NAV3data5
6	4867	73	11.62515688	B11CA15NAV3data6
7	3702	62	6.664019108	B11CA15NAV3data7
8	3749	62	6.932819128	B11CA15NAV3data8
9	4646	69	8.336496592	B11CA15NAV3data9
10	5194	78	18.44981027	B11CA15NAV3data10
11	4622	68	9.271155596	B11CA15NAV3data11
12	5202	71	11.99002481	B11CA15NAV3data12
13	4793	71	13.20220494	B11CA15NAV3data13
14	4797	72	14.56031823	B11CA15NAV3data14
15	5259	82	21.34463692	B11CA15NAV3data15
16	4480	67	8.66404295	B11CA15NAV3data16
17	5327	77	16.13581729	B11CA15NAV3data17
18	4004	62	7.163661242	B11CA15NAV3data18
19	4361	68	7.854896784	B11CA15NAV3data19
20	4594	67	7.100620508	B11CA15NAV3data20
21	5323	73	12.21338201	B11CA15NAV3data21
22	4411	64	7.444388151	B11CA15NAV3data22
23	4117	62	7.464745283	B11CA15NAV3data23
24	4559	72	11.52612329	B11CA15NAV3data24
25	5087	76	13.39477968	B11CA15NAV3data25
26	4178	67	12.09724402	B11CA15NAV3data26
27	4719	69	8.904148102	B11CA15NAV3data27
28	4385	70	9.397385359	B11CA15NAV3data28
29	4346	66	7.08009553	B11CA15NAV3data29
30	3945	63	6.285432339	B11CA15NAV3data30
31	4927	68	8.440181971	B11CA15NAV3data31
32	4252	64	6.800132513	B11CA15NAV3data32
33	4214	64	7.591990709	B11CA15NAV3data33
34	4980	71	10.10469604	B11CA15NAV3data34
35	4385	60	5.395537138	B11CA15NAV3data35
36	4346	67	7.564613581	B11CA15NAV3data36
37	4163	66	7.615788221	B11CA15NAV3data37
38	5010	76	13.66602421	B11CA15NAV3data38
39	4821	72	11.48665214	B11CA15NAV3data39
40	4215	63	7.879980326	B11CA15NAV3data40
41	5184	76	12.46256185	B11CA15NAV3data41
42	4888	78	18.9004631	B11CA15NAV3data42
43	4282	64	7.348031521	B11CA15NAV3data43
44	4152	69	9.546575069	B11CA15NAV3data44
45	4567	69	9.539895535	B11CA15NAV3data45
46	4297	68	7.557224035	B11CA15NAV3data46
47	5110	72	10.63482618	B11CA15NAV3data47
48	4952	73	15.8850534	B11CA15NAV3data48
49	4392	72	10.81113863	B11CA15NAV3data49
50	4501	67	7.308665752	B11CA15NAV3data50
51	4680	74	13.86896372	B11CA15NAV3data51
52	5045	81	64.03180075	B11CA15NAV3data52
53	4066	63	5.957187414	B11CA15NAV3data53
54	3532	53	8.959866762	B11CA15NAV3data54
55	4715	72	10.50592613	B11CA15NAV3data55
56	4476	72	11.52117181	B11CA15NAV3data56
57	4843	74	14.19113064	B11CA15NAV3data57
58	4440	64	7.206343412	B11CA15NAV3data58
59	3775	55	4.682927132	B11CA15NAV3data59
60	4547	65	7.789904356	B11CA15NAV3data60
61	4244	69	9.801219225	B11CA15NAV3data61
62	4211	63	7.93426156	B11CA15NAV3data62
63	4687	66	7.828220129	B11CA15NAV3data63
64	4155	64	8.744240999	B11CA15NAV3data64
65	4092	66	8.586354494	B11CA15NAV3data65
66	4313	63	8.656087875	B11CA15NAV3data66
67	4731	71	9.687286377	B11CA15NAV3data67
68	4827	70	11.10379601	B11CA15NAV3data68
69	4688	69	10.37211704	B11CA15NAV3data69
70	4619	71	9.323410749	B11CA15NAV3data70
71	4645	71	10.10578489	B11CA15NAV3data71
72	4178	61	6.012090445	B11CA15NAV3data72
73	3653	55	5.024057388	B11CA15NAV3data73
74	4261	58	5.433153391	B11CA15NAV3data74
75	5385	79	14.599231	B11CA15NAV3data75
76	4192	62	5.472298384	B11CA15NAV3data76
77	5313	78	19.27235699	B11CA15NAV3data77
78	4747	72	9.564735413	B11CA15NAV3data78
79	3821	56	5.488155603	B11CA15NAV3data79
80	4406	69	9.157924891	B11CA15NAV3data80
81	4653	67	8.013133287	B11CA15NAV3data81
82	5106	73	10.94800353	B11CA15NAV3data82
83	4818	69	9.488230944	B11CA15NAV3data83
84	3999	63	6.800230026	B11CA15NAV3data84
85	5173	77	13.88508248	B11CA15NAV3data85
86	4705	72	12.07837534	B11CA15NAV3data86
87	4093	62	8.167895555	B11CA15NAV3data87
88	4521	76	13.69255257	B11CA15NAV3data88
89	4468	64	6.422637224	B11CA15NAV3data89
90	4472	70	9.112790585	B11CA15NAV3data90
91	5011	79	15.07489109	B11CA15NAV3data91
92	4760	72	11.57314754	B11CA15NAV3data92
93	4613	70	11.57766271	B11CA15NAV3data93
94	4702	69	8.875610828	B11CA15NAV3data94
95	5147	75	13.03356886	B11CA15NAV3data95
96	5617	80	17.15606713	B11CA15NAV3data96
97	4156	61	6.515980005	B11CA15NAV3data97
98	5286	84	24.74732447	B11CA15NAV3data98
99	4867	71	9.46891284	B11CA15NAV3data99
