Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	5941	91	314.3021855354309	B13CA15v2data0
1	6112	87	221.02724599838257	B13CA15v2data1
2	6722	92	172.24648094177246	B13CA15v2data2
3	6507	86	153.71709036827087	B13CA15v2data3
4	6599	89	250.8240122795105	B13CA15v2data4
5	6140	86	155.3075897693634	B13CA15v2data5
6	5938	85	162.18659257888794	B13CA15v2data6
7	5160	75	476.33888268470764	B13CA15v2data7
8	6494	90	126.15395212173462	B13CA15v2data8
9	7211	98	263.37648487091064	B13CA15v2data9
10	7651	107	399.8442003726959	B13CA15v2data10
11	6834	95	340.86704754829407	B13CA15v2data11
12	5693	83	145.07695984840393	B13CA15v2data12
13	5622	76	76.2608642578125	B13CA15v2data13
14	6953	97	250.70260953903198	B13CA15v2data14
15	5044	76	129.89336395263672	B13CA15v2data15
16	5367	75	86.80487585067749	B13CA15v2data16
17	6097	84	196.67636966705322	B13CA15v2data17
18	5284	75	130.99294018745422	B13CA15v2data18
19	5838	84	165.16937136650085	B13CA15v2data19
20	6313	81	158.53467202186584	B13CA15v2data20
21	6438	91	199.51863193511963	B13CA15v2data21
22	5792	81	182.2613501548767	B13CA15v2data22
23	6076	82	381.52757358551025	B13CA15v2data23
