Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	1790	37	1.7518086433410645	B7CA15data0
1	1128	21	0.26707029342651367	B7CA15data1
2	2434	45	4.591923475265503	B7CA15data2
3	1539	30	2.1059060096740723	B7CA15data3
4	1239	23	0.4089031219482422	B7CA15data4
5	1841	39	2.703768730163574	B7CA15data5
6	2099	38	0.8975996971130371	B7CA15data6
7	1903	37	0.9913458824157715	B7CA15data7
8	2217	40	0.8636837005615234	B7CA15data8
9	2215	41	0.7061097621917725	B7CA15data9
10	2381	41	1.115016222000122	B7CA15data10
11	2182	43	7.007255554199219	B7CA15data11
12	2204	41	3.201451301574707	B7CA15data12
13	2126	42	2.5532069206237793	B7CA15data13
14	2265	43	0.7020905017852783	B7CA15data14
15	2168	38	2.3128442764282227	B7CA15data15
16	2623	47	0.5505290031433105	B7CA15data16
17	2008	37	0.5146563053131104	B7CA15data17
18	2282	40	0.7819104194641113	B7CA15data18
19	1990	38	0.8078341484069824	B7CA15data19
20	2128	41	0.8966004848480225	B7CA15data20
21	2513	46	4.8739659786224365	B7CA15data21
22	2339	43	1.152902364730835	B7CA15data22
23	1305	23	0.4537792205810547	B7CA15data23
24	2098	36	1.9567663669586182	B7CA15data24
25	2424	42	1.9667408466339111	B7CA15data25
26	2298	41	1.1648890972137451	B7CA15data26
27	1980	39	1.0023093223571777	B7CA15data27
28	1408	27	2.278883934020996	B7CA15data28
29	2058	39	2.9421396255493164	B7CA15data29
30	2418	42	2.8444299697875977	B7CA15data30
31	2032	40	3.414867639541626	B7CA15data31
32	1937	39	1.1160025596618652	B7CA15data32
33	2363	43	1.8311398029327393	B7CA15data33
34	2242	44	4.643582344055176	B7CA15data34
35	2400	37	0.9883606433868408	B7CA15data35
36	2123	39	1.567845106124878	B7CA15data36
37	2157	44	4.190797328948975	B7CA15data37
38	2170	39	1.958798885345459	B7CA15data38
39	2597	46	4.620642423629761	B7CA15data39
40	2218	41	4.163833856582642	B7CA15data40
41	2336	44	5.196064472198486	B7CA15data41
42	2166	40	1.32246732711792	B7CA15data42
43	2121	37	0.8644979000091553	B7CA15data43
44	1995	34	1.1030385494232178	B7CA15data44
45	2006	36	4.1117401123046875	B7CA15data45
46	2360	43	4.1449151039123535	B7CA15data46
47	1893	41	1.6585524082183838	B7CA15data47
48	2130	40	1.4491252899169922	B7CA15data48
49	1999	39	4.046181678771973	B7CA15data49
50	2314	41	3.4078879356384277	B7CA15data50
51	1958	37	1.0681421756744385	B7CA15data51
52	2242	41	3.627281665802002	B7CA15data52
53	2242	39	4.471999406814575	B7CA15data53
54	2572	45	4.19079327583313	B7CA15data54
55	2329	42	1.7144253253936768	B7CA15data55
56	289	5	0.14565014839172363	B7CA15data56
57	2595	47	0.8506927490234375	B7CA15data57
58	2138	41	4.414223670959473	B7CA15data58
59	2211	40	4.6306140422821045	B7CA15data59
60	1832	37	0.8277862071990967	B7CA15data60
61	2138	40	0.9364979267120361	B7CA15data61
62	2125	40	4.055584669113159	B7CA15data62
63	2158	43	4.003295660018921	B7CA15data63
64	1870	35	2.3168046474456787	B7CA15data64
65	1863	35	2.2858755588531494	B7CA15data65
66	1972	36	0.5585191249847412	B7CA15data66
67	2000	38	3.331099510192871	B7CA15data67
68	1711	33	0.8098280429840088	B7CA15data68
69	2405	43	2.4055652618408203	B7CA15data69
70	2032	36	1.5368802547454834	B7CA15data70
71	1814	38	3.884613037109375	B7CA15data71
72	1959	41	2.082090139389038	B7CA15data72
73	2390	43	0.7829766273498535	B7CA15data73
74	2194	40	4.0616514682769775	B7CA15data74
75	2307	38	4.390255928039551	B7CA15data75
76	1734	32	4.262603521347046	B7CA15data76
77	2338	41	4.067158937454224	B7CA15data77
78	2027	41	0.7449741363525391	B7CA15data78
79	1950	38	1.9747223854064941	B7CA15data79
80	2233	43	0.9066016674041748	B7CA15data80
81	2182	45	4.556779384613037	B7CA15data81
82	2162	42	2.867345094680786	B7CA15data82
83	2327	40	3.4567558765411377	B7CA15data83
84	2313	41	2.6020421981811523	B7CA15data84
85	1832	34	1.171895980834961	B7CA15data85
86	1347	27	3.0449061393737793	B7CA15data86
87	2481	43	5.217048406600952	B7CA15data87
88	1904	38	3.285214424133301	B7CA15data88
89	2444	43	0.654285192489624	B7CA15data89
90	1292	27	0.3420712947845459	B7CA15data90
91	2516	44	2.264965534210205	B7CA15data91
92	1900	37	2.1312825679779053	B7CA15data92
93	1423	29	4.703500986099243	B7CA15data93
94	2597	47	4.996636152267456	B7CA15data94
95	2416	42	3.311131477355957	B7CA15data95
96	1913	35	1.1080653667449951	B7CA15data96
97	2064	40	1.934800386428833	B7CA15data97
98	2088	41	4.171828508377075	B7CA15data98
99	1937	37	4.104059457778931	B7CA15data99
