Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	2287	40	3.1790778636932373	B10CA10NAV4data0
1	2648	51	3.495802164077759	B10CA10NAV4data1
2	2510	45	3.0921785831451416	B10CA10NAV4data2
3	2514	43	12.620161294937134	B10CA10NAV4data3
4	2503	45	2.747861623764038	B10CA10NAV4data4
5	2405	43	3.6276438236236572	B10CA10NAV4data5
6	2319	44	2.7861099243164062	B10CA10NAV4data6
7	2720	52	4.017887830734253	B10CA10NAV4data7
8	2532	47	3.8873329162597656	B10CA10NAV4data8
9	2715	51	9.78976058959961	B10CA10NAV4data9
10	2580	46	3.184311628341675	B10CA10NAV4data10
11	3087	55	3.585484743118286	B10CA10NAV4data11
12	2413	47	3.2624857425689697	B10CA10NAV4data12
13	2844	51	3.952669858932495	B10CA10NAV4data13
14	1979	39	6.270265102386475	B10CA10NAV4data14
15	2204	41	15.664510488510132	B10CA10NAV4data15
16	2123	37	26.23003625869751	B10CA10NAV4data16
17	2758	48	3.4082932472229004	B10CA10NAV4data17
18	2218	40	2.84104585647583	B10CA10NAV4data18
19	2485	41	22.897982835769653	B10CA10NAV4data19
20	2336	43	7.181541681289673	B10CA10NAV4data20
21	2513	48	5.881531715393066	B10CA10NAV4data21
22	2204	43	16.49282217025757	B10CA10NAV4data22
23	2533	44	3.471588373184204	B10CA10NAV4data23
24	2490	46	2.654261827468872	B10CA10NAV4data24
25	2168	41	7.174211263656616	B10CA10NAV4data25
26	2640	48	4.15753436088562	B10CA10NAV4data26
27	2794	53	7.934259414672852	B10CA10NAV4data27
28	2576	42	4.7015297412872314	B10CA10NAV4data28
29	1854	38	5.1610119342803955	B10CA10NAV4data29
30	2796	52	7.5808069705963135	B10CA10NAV4data30
31	2547	49	2.9660894870758057	B10CA10NAV4data31
32	1848	35	4.701020002365112	B10CA10NAV4data32
33	2773	53	24.979859828948975	B10CA10NAV4data33
34	2393	46	7.455960035324097	B10CA10NAV4data34
35	2185	38	12.904050588607788	B10CA10NAV4data35
36	2596	47	14.843109130859375	B10CA10NAV4data36
37	2680	52	7.772078990936279	B10CA10NAV4data37
38	2583	47	5.686224937438965	B10CA10NAV4data38
39	2074	39	3.4459710121154785	B10CA10NAV4data39
40	2236	43	7.927209854125977	B10CA10NAV4data40
41	2132	41	3.494269847869873	B10CA10NAV4data41
42	2397	45	2.7958850860595703	B10CA10NAV4data42
43	2330	41	3.406952381134033	B10CA10NAV4data43
44	2074	36	6.985306978225708	B10CA10NAV4data44
45	2356	46	3.084455966949463	B10CA10NAV4data45
46	2007	39	2.081024646759033	B10CA10NAV4data46
47	2344	47	3.730466604232788	B10CA10NAV4data47
48	2582	49	4.148491382598877	B10CA10NAV4data48
49	2048	45	13.850141525268555	B10CA10NAV4data49
50	2600	41	24.34600520133972	B10CA10NAV4data50
51	2617	43	9.94940447807312	B10CA10NAV4data51
52	2232	42	24.38042426109314	B10CA10NAV4data52
53	2018	39	8.662519931793213	B10CA10NAV4data53
54	3067	56	4.690547704696655	B10CA10NAV4data54
55	2735	52	14.12299108505249	B10CA10NAV4data55
56	2123	39	22.69798517227173	B10CA10NAV4data56
57	2144	40	9.926937103271484	B10CA10NAV4data57
58	2774	51	6.506539344787598	B10CA10NAV4data58
59	2093	39	5.400015115737915	B10CA10NAV4data59
60	2298	40	18.358854293823242	B10CA10NAV4data60
61	2214	40	14.836079597473145	B10CA10NAV4data61
62	2883	51	5.166989088058472	B10CA10NAV4data62
63	2188	43	5.855966567993164	B10CA10NAV4data63
64	2478	50	7.216803073883057	B10CA10NAV4data64
65	2683	48	2.1368253231048584	B10CA10NAV4data65
66	2439	46	5.623692989349365	B10CA10NAV4data66
67	2353	44	3.9525957107543945	B10CA10NAV4data67
68	2432	43	14.530924797058105	B10CA10NAV4data68
69	2209	44	3.1131458282470703	B10CA10NAV4data69
70	2316	44	3.2353017330169678	B10CA10NAV4data70
71	2289	45	3.478787422180176	B10CA10NAV4data71
72	2841	51	3.856623411178589	B10CA10NAV4data72
73	2562	42	2.503978967666626	B10CA10NAV4data73
74	2236	38	9.55124020576477	B10CA10NAV4data74
75	2107	38	2.0501933097839355	B10CA10NAV4data75
76	2093	40	3.2225518226623535	B10CA10NAV4data76
77	2357	41	3.5144143104553223	B10CA10NAV4data77
78	2289	43	3.399965524673462	B10CA10NAV4data78
79	1803	36	2.896993398666382	B10CA10NAV4data79
80	2706	49	14.580708265304565	B10CA10NAV4data80
81	3204	57	12.240331411361694	B10CA10NAV4data81
82	2697	51	2.375236988067627	B10CA10NAV4data82
83	2272	43	3.4174468517303467	B10CA10NAV4data83
84	2430	46	13.306851148605347	B10CA10NAV4data84
85	2269	41	17.806949377059937	B10CA10NAV4data85
86	2087	40	5.460952520370483	B10CA10NAV4data86
87	2698	51	3.754276752471924	B10CA10NAV4data87
88	2339	44	9.529269695281982	B10CA10NAV4data88
89	2340	43	12.534241914749146	B10CA10NAV4data89
90	1968	36	11.667988061904907	B10CA10NAV4data90
91	2338	44	12.463379859924316	B10CA10NAV4data91
92	3007	58	5.323518514633179	B10CA10NAV4data92
93	2429	43	21.174890518188477	B10CA10NAV4data93
94	2635	48	2.927018642425537	B10CA10NAV4data94
95	2426	47	4.162716865539551	B10CA10NAV4data95
96	2295	43	3.0695526599884033	B10CA10NAV4data96
97	2348	41	4.9574174880981445	B10CA10NAV4data97
98	2449	41	2.6500513553619385	B10CA10NAV4data98
99	2521	48	3.3810207843780518	B10CA10NAV4data99
