Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	7137	88	16.922777891159058	B10CA2.3data0
1	6182	88	16.0341215133667	B10CA2.3data1
2	6398	88	12.493554592132568	B10CA2.3data2
3	7340	94	12.930418729782104	B10CA2.3data3
4	6694	88	12.917457103729248	B10CA2.3data4
5	6441	85	13.769267559051514	B10CA2.3data5
6	6846	96	8.363500118255615	B10CA2.3data6
7	5573	78	9.674102067947388	B10CA2.3data7
8	6441	88	14.386834144592285	B10CA2.3data8
9	6651	88	12.501869440078735	B10CA2.3data9
10	5763	80	7.908812046051025	B10CA2.3data10
11	6568	86	9.286872386932373	B10CA2.3data11
12	5323	72	4.997318744659424	B10CA2.3data12
13	4906	72	5.076499938964844	B10CA2.3data13
14	5429	76	8.43135690689087	B10CA2.3data14
15	7014	97	16.088648319244385	B10CA2.3data15
16	7534	96	6.351022005081177	B10CA2.3data16
17	6638	90	8.021581172943115	B10CA2.3data17
18	7401	98	20.56599521636963	B10CA2.3data18
19	6033	85	31.489749670028687	B10CA2.3data19
20	5418	76	8.840366840362549	B10CA2.3data20
21	7054	96	11.152173042297363	B10CA2.3data21
22	2051	29	5.162197828292847	B10CA2.3data22
23	6054	84	7.426166772842407	B10CA2.3data23
24	5833	82	9.513556957244873	B10CA2.3data24
25	6518	90	10.100008010864258	B10CA2.3data25
26	6699	90	10.351319074630737	B10CA2.3data26
27	6631	92	13.511865377426147	B10CA2.3data27
28	6902	94	26.576913595199585	B10CA2.3data28
29	6221	84	8.18311357498169	B10CA2.3data29
30	6377	88	13.028517484664917	B10CA2.3data30
31	6040	84	6.807736158370972	B10CA2.3data31
32	6083	86	10.102693796157837	B10CA2.3data32
33	5428	78	8.761557817459106	B10CA2.3data33
34	6077	85	9.344001531600952	B10CA2.3data34
35	5464	80	8.06443166732788	B10CA2.3data35
36	6105	86	9.049785852432251	B10CA2.3data36
37	5916	88	7.3603150844573975	B10CA2.3data37
38	5679	82	5.812455654144287	B10CA2.3data38
39	3897	56	4.266622543334961	B10CA2.3data39
40	6158	88	6.976309537887573	B10CA2.3data40
41	6463	92	6.835716724395752	B10CA2.3data41
42	5213	72	6.230340003967285	B10CA2.3data42
43	4317	60	3.4518120288848877	B10CA2.3data43
44	4957	76	5.291848182678223	B10CA2.3data44
45	5835	86	10.497928380966187	B10CA2.3data45
46	6514	88	13.435073137283325	B10CA2.3data46
47	7045	96	12.711071968078613	B10CA2.3data47
48	5926	84	16.046096324920654	B10CA2.3data48
49	6553	87	14.013521671295166	B10CA2.3data49
