Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	5172	66	15.74935793876648	B10CA30NAV4data0
1	7418	96	22.64526915550232	B10CA30NAV4data1
2	4612	64	3.3975436687469482	B10CA30NAV4data2
3	5334	72	5.4413042068481445	B10CA30NAV4data3
4	4389	50	3.2020184993743896	B10CA30NAV4data4
5	5435	69	7.098939657211304	B10CA30NAV4data5
6	5875	72	8.321940422058105	B10CA30NAV4data6
7	5176	64	3.7187821865081787	B10CA30NAV4data7
8	7278	98	14.111387491226196	B10CA30NAV4data8
9	5550	70	7.264126300811768	B10CA30NAV4data9
10	5644	64	4.972339153289795	B10CA30NAV4data10
11	7704	94	31.29375982284546	B10CA30NAV4data11
12	7246	90	8.478952646255493	B10CA30NAV4data12
13	2309	28	0.8978686332702637	B10CA30NAV4data13
14	5700	72	10.093693256378174	B10CA30NAV4data14
15	6491	86	13.670212984085083	B10CA30NAV4data15
16	1315	15	0.5291874408721924	B10CA30NAV4data16
17	7963	98	12.770271062850952	B10CA30NAV4data17
18	8323	98	30.77898073196411	B10CA30NAV4data18
19	4818	65	5.011750221252441	B10CA30NAV4data19
20	5008	70	8.155921459197998	B10CA30NAV4data20
21	7128	88	9.39246153831482	B10CA30NAV4data21
22	7573	96	16.680073499679565	B10CA30NAV4data22
23	2417	33	0.8676488399505615	B10CA30NAV4data23
24	5684	72	9.178079843521118	B10CA30NAV4data24
25	3833	43	1.4383771419525146	B10CA30NAV4data25
26	6369	76	10.0176522731781	B10CA30NAV4data26
27	6211	75	8.195195198059082	B10CA30NAV4data27
28	7405	96	15.265748977661133	B10CA30NAV4data28
29	5890	73	8.484655380249023	B10CA30NAV4data29
30	6042	78	8.598252534866333	B10CA30NAV4data30
31	7938	96	17.758646965026855	B10CA30NAV4data31
32	7488	98	15.266952753067017	B10CA30NAV4data32
33	6783	82	8.848196506500244	B10CA30NAV4data33
34	7604	96	16.257962942123413	B10CA30NAV4data34
35	7616	98	11.137461423873901	B10CA30NAV4data35
36	1636	21	1.9601829051971436	B10CA30NAV4data36
37	7741	96	11.027442455291748	B10CA30NAV4data37
38	3739	48	1.2903938293457031	B10CA30NAV4data38
39	5876	76	6.703959703445435	B10CA30NAV4data39
40	5807	78	10.212372303009033	B10CA30NAV4data40
41	6117	80	9.254869222640991	B10CA30NAV4data41
42	3865	48	2.3138368129730225	B10CA30NAV4data42
43	4391	55	2.3893747329711914	B10CA30NAV4data43
44	5326	66	7.8782172203063965	B10CA30NAV4data44
45	3591	44	7.241448640823364	B10CA30NAV4data45
46	7480	94	12.125127077102661	B10CA30NAV4data46
47	6852	83	8.228883743286133	B10CA30NAV4data47
48	6621	88	11.594352722167969	B10CA30NAV4data48
49	5353	70	8.0408296585083	B10CA30NAV4data49
50	5802	81	14.349836587905884	B10CA30NAV4data50
51	6321	76	8.997621536254883	B10CA30NAV4data51
52	7029	90	13.332628726959229	B10CA30NAV4data52
53	3798	43	2.3377015590667725	B10CA30NAV4data53
54	6846	84	13.419299602508545	B10CA30NAV4data54
55	2665	30	1.0627734661102295	B10CA30NAV4data55
56	4673	60	2.973893880844116	B10CA30NAV4data56
57	4870	56	2.0195980072021484	B10CA30NAV4data57
58	6917	86	12.649085521697998	B10CA30NAV4data58
59	6353	78	10.202933073043823	B10CA30NAV4data59
60	6044	74	6.64185905456543	B10CA30NAV4data60
61	7110	96	16.123883724212646	B10CA30NAV4data61
62	7068	94	36.21849322319031	B10CA30NAV4data62
63	7783	98	9.975176572799683	B10CA30NAV4data63
64	7674	94	11.921416759490967	B10CA30NAV4data64
65	7575	92	11.359492778778076	B10CA30NAV4data65
66	6546	94	14.56336236000061	B10CA30NAV4data66
67	5769	79	10.89996337890625	B10CA30NAV4data67
68	7643	96	12.38167142868042	B10CA30NAV4data68
69	5600	72	6.826388597488403	B10CA30NAV4data69
70	2368	31	0.9501388072967529	B10CA30NAV4data70
71	3707	45	1.4449741840362549	B10CA30NAV4data71
72	7114	90	14.571848392486572	B10CA30NAV4data72
73	6130	78	8.824612379074097	B10CA30NAV4data73
74	3985	48	7.154639482498169	B10CA30NAV4data74
75	6657	86	15.18873929977417	B10CA30NAV4data75
76	5186	65	4.148111820220947	B10CA30NAV4data76
77	5886	81	12.031787633895874	B10CA30NAV4data77
78	5315	72	8.600024223327637	B10CA30NAV4data78
79	6183	76	10.760830879211426	B10CA30NAV4data79
80	6639	82	6.281167030334473	B10CA30NAV4data80
81	7237	92	7.820443868637085	B10CA30NAV4data81
82	5589	72	7.055683374404907	B10CA30NAV4data82
83	7211	84	11.586798191070557	B10CA30NAV4data83
84	4436	59	4.908370733261108	B10CA30NAV4data84
85	6573	85	14.899420022964478	B10CA30NAV4data85
86	6479	84	21.767353534698486	B10CA30NAV4data86
87	5711	70	9.62287187576294	B10CA30NAV4data87
88	7026	94	12.780585289001465	B10CA30NAV4data88
89	4522	53	5.22086501121521	B10CA30NAV4data89
90	5917	72	9.134730339050293	B10CA30NAV4data90
91	7867	96	12.171460390090942	B10CA30NAV4data91
92	6593	86	12.214225769042969	B10CA30NAV4data92
93	7146	90	9.672881364822388	B10CA30NAV4data93
94	7854	94	13.813027143478394	B10CA30NAV4data94
95	5982	75	6.364944934844971	B10CA30NAV4data95
96	4731	54	1.7520129680633545	B10CA30NAV4data96
97	7300	88	10.805641412734985	B10CA30NAV4data97
98	5598	72	9.445458173751831	B10CA30NAV4data98
99	7451	98	11.188589096069336	B10CA30NAV4data99
