Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	6070	65	15.117629289627075	B10CA35data0
1	6790	77	21.258347272872925	B10CA35data1
2	6003	70	17.664265632629395	B10CA35data2
3	5970	68	19.93087100982666	B10CA35data3
4	5815	69	19.32130002975464	B10CA35data4
5	5856	68	16.603925704956055	B10CA35data5
6	4938	60	8.046029329299927	B10CA35data6
7	5231	63	13.54823613166809	B10CA35data7
8	5287	67	21.170873403549194	B10CA35data8
9	5689	71	17.58819031715393	B10CA35data9
10	3015	37	1.5179643630981445	B10CA35data10
11	5790	70	17.405627727508545	B10CA35data11
12	5889	66	21.04788327217102	B10CA35data12
13	5378	69	22.180015087127686	B10CA35data13
14	6145	68	21.77896547317505	B10CA35data14
15	1477	20	1.2615993022918701	B10CA35data15
16	5147	55	5.933372259140015	B10CA35data16
17	5693	69	21.012535095214844	B10CA35data17
18	4778	54	5.111666440963745	B10CA35data18
19	5090	63	13.655730247497559	B10CA35data19
20	4499	53	5.945916414260864	B10CA35data20
21	2547	28	2.1180591583251953	B10CA35data21
22	6452	67	14.03150725364685	B10CA35data22
23	5286	56	9.285390615463257	B10CA35data23
24	5755	73	19.55657196044922	B10CA35data24
25	4600	54	5.538759708404541	B10CA35data25
26	5283	60	10.558345794677734	B10CA35data26
27	5513	64	14.852839231491089	B10CA35data27
28	5711	67	23.139723300933838	B10CA35data28
29	4140	49	4.046022891998291	B10CA35data29
30	4875	58	8.81437063217163	B10CA35data30
31	7624	96	23.830039501190186	B10CA35data31
32	5110	67	14.694636821746826	B10CA35data32
33	7614	88	26.345988035202026	B10CA35data33
34	6156	74	22.498153924942017	B10CA35data34
35	5433	65	16.46340560913086	B10CA35data35
36	5662	63	10.973692655563354	B10CA35data36
37	5537	72	27.507298469543457	B10CA35data37
38	8107	94	38.29706144332886	B10CA35data38
39	5791	64	12.820073366165161	B10CA35data39
40	4226	46	1.754117727279663	B10CA35data40
41	4750	60	8.171849966049194	B10CA35data41
42	6281	78	21.42483639717102	B10CA35data42
43	7062	88	31.600182056427002	B10CA35data43
44	6826	76	25.49627995491028	B10CA35data44
45	4639	63	8.309002161026001	B10CA35data45
46	4060	49	3.0608396530151367	B10CA35data46
47	5730	71	24.276097059249878	B10CA35data47
48	5276	64	14.478448152542114	B10CA35data48
49	5732	66	16.735207080841064	B10CA35data49
