Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	1124	22	1.307030439376831	B55CA15data0
1	1109	22	0.7241876125335693	B55CA15data1
2	996	22	4.404557704925537	B55CA15data2
3	1089	22	1.0661492347717285	B55CA15data3
4	680	14	0.2702481746673584	B55CA15data4
5	1004	20	1.0735242366790771	B55CA15data5
6	806	22	0.844590425491333	B55CA15data6
7	634	14	0.41290807723999023	B55CA15data7
8	1160	22	1.7609856128692627	B55CA15data8
9	1304	22	0.8196299076080322	B55CA15data9
10	962	22	0.6639831066131592	B55CA15data10
11	1097	20	0.4817159175872803	B55CA15data11
12	998	20	0.6986944675445557	B55CA15data12
13	821	18	0.3631281852722168	B55CA15data13
14	594	12	1.2863121032714844	B55CA15data14
15	1053	22	0.659916877746582	B55CA15data15
16	1208	22	0.4343414306640625	B55CA15data16
17	1243	22	0.5087759494781494	B55CA15data17
18	1052	22	0.8299531936645508	B55CA15data18
19	489	12	0.32772350311279297	B55CA15data19
20	1174	22	0.731957197189331	B55CA15data20
21	1174	22	0.6413509845733643	B55CA15data21
22	1212	22	2.3699185848236084	B55CA15data22
23	1060	22	2.2470600605010986	B55CA15data23
24	1144	22	0.7822508811950684	B55CA15data24
25	1176	22	0.7002363204956055	B55CA15data25
26	1097	20	0.3480815887451172	B55CA15data26
27	1126	22	1.7962050437927246	B55CA15data27
28	728	16	0.5681133270263672	B55CA15data28
29	811	16	0.33652353286743164	B55CA15data29
30	942	20	0.6961417198181152	B55CA15data30
31	1077	22	0.7627174854278564	B55CA15data31
32	1162	22	0.6008117198944092	B55CA15data32
33	1121	22	1.0716135501861572	B55CA15data33
34	1113	22	1.1632106304168701	B55CA15data34
35	1001	22	0.40558600425720215	B55CA15data35
36	992	22	0.657984733581543	B55CA15data36
37	1146	22	0.928830623626709	B55CA15data37
38	1006	22	0.962538480758667	B55CA15data38
39	1131	22	0.6567492485046387	B55CA15data39
40	913	20	0.40262770652770996	B55CA15data40
41	1062	20	0.6438431739807129	B55CA15data41
42	920	22	0.8001186847686768	B55CA15data42
43	970	22	0.7741775512695312	B55CA15data43
44	1314	20	0.5435473918914795	B55CA15data44
45	950	18	0.5847799777984619	B55CA15data45
46	1052	22	0.9345412254333496	B55CA15data46
47	1116	22	5.065395832061768	B55CA15data47
48	1148	22	1.0531647205352783	B55CA15data48
49	668	14	0.5864157676696777	B55CA15data49
50	1081	22	0.7719333171844482	B55CA15data50
51	1032	22	1.608238697052002	B55CA15data51
52	596	14	0.37895965576171875	B55CA15data52
53	1259	22	0.5074481964111328	B55CA15data53
54	965	20	0.6589529514312744	B55CA15data54
55	464	10	0.17953896522521973	B55CA15data55
56	900	16	1.2726333141326904	B55CA15data56
57	1250	22	1.1268680095672607	B55CA15data57
58	910	20	0.8486313819885254	B55CA15data58
59	934	22	0.6392903327941895	B55CA15data59
