Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	2749	48	2.0685923099517822	B88CA15data0
1	2435	46	32.976601362228394	B88CA15data1
2	2498	46	30.455105304718018	B88CA15data2
3	2588	47	28.052047729492188	B88CA15data3
4	2780	47	35.97539210319519	B88CA15data4
5	2610	45	38.38093161582947	B88CA15data5
6	2767	51	27.912190198898315	B88CA15data6
7	1413	21	3.5809249877929688	B88CA15data7
8	2532	45	33.387366771698	B88CA15data8
9	2851	49	40.933043003082275	B88CA15data9
10	2811	50	30.3491849899292	B88CA15data10
11	3033	50	32.56293487548828	B88CA15data11
12	2544	43	30.479427576065063	B88CA15data12
13	2851	48	33.78388047218323	B88CA15data13
14	2615	50	30.471925735473633	B88CA15data14
15	2280	42	4.935874938964844	B88CA15data15
16	2627	45	27.539567232131958	B88CA15data16
17	2824	50	18.19113779067993	B88CA15data17
18	2192	40	3.231673002243042	B88CA15data18
19	2746	48	31.464026927947998	B88CA15data19
20	3122	55	46.15860104560852	B88CA15data20
21	2431	43	30.878567218780518	B88CA15data21
22	3181	50	3.380598783493042	B88CA15data22
23	3268	54	47.141085386276245	B88CA15data23
24	2802	50	6.309373378753662	B88CA15data24
25	3028	50	46.797743797302246	B88CA15data25
26	2491	42	28.931154489517212	B88CA15data26
27	3135	52	37.45103669166565	B88CA15data27
28	3131	53	36.459946155548096	B88CA15data28
29	2781	50	30.940886735916138	B88CA15data29
30	2573	49	34.024781703948975	B88CA15data30
31	2430	44	14.728684902191162	B88CA15data31
32	2173	40	1.4571881294250488	B88CA15data32
33	2469	43	29.102428913116455	B88CA15data33
34	3036	50	3.9111831188201904	B88CA15data34
35	2553	46	44.38056921958923	B88CA15data35
36	2863	53	38.032469511032104	B88CA15data36
37	2791	46	31.290398359298706	B88CA15data37
38	2536	44	36.03572416305542	B88CA15data38
39	3056	54	35.327558755874634	B88CA15data39
40	2438	44	13.506553411483765	B88CA15data40
41	3170	52	50.09321451187134	B88CA15data41
42	2663	47	42.5665500164032	B88CA15data42
43	3273	54	40.75295042991638	B88CA15data43
44	2137	42	1.889803171157837	B88CA15data44
45	2894	51	37.88859796524048	B88CA15data45
46	1664	30	1.2193005084991455	B88CA15data46
47	2339	42	2.2715444564819336	B88CA15data47
48	3182	54	44.532270193099976	B88CA15data48
49	2369	43	31.35454535484314	B88CA15data49
50	2525	44	31.298330068588257	B88CA15data50
51	2666	44	28.502520084381104	B88CA15data51
52	3175	53	40.22429323196411	B88CA15data52
53	3545	58	33.7675507068634	B88CA15data53
54	2646	44	2.4110403060913086	B88CA15data54
55	2247	43	38.219887018203735	B88CA15data55
56	3167	51	32.926923990249634	B88CA15data56
57	2675	50	7.109098196029663	B88CA15data57
58	2623	43	33.06651735305786	B88CA15data58
59	2777	50	37.80948185920715	B88CA15data59
60	3142	53	30.577672004699707	B88CA15data60
61	2519	45	28.501222133636475	B88CA15data61
62	2677	48	32.848304271698	B88CA15data62
63	2814	50	35.92540717124939	B88CA15data63
64	2797	48	34.80117630958557	B88CA15data64
65	3115	52	30.973544359207153	B88CA15data65
66	3139	58	51.144330978393555	B88CA15data66
67	2719	48	46.07049369812012	B88CA15data67
68	2388	45	27.541157245635986	B88CA15data68
69	2626	44	34.00317049026489	B88CA15data69
70	2983	50	38.560993909835815	B88CA15data70
71	1928	36	1.3234400749206543	B88CA15data71
72	2492	47	38.12123727798462	B88CA15data72
73	2510	47	36.78541612625122	B88CA15data73
74	2627	46	53.51883006095886	B88CA15data74
75	1326	24	0.9595577716827393	B88CA15data75
76	3382	58	45.064168214797974	B88CA15data76
77	3161	54	42.53868341445923	B88CA15data77
78	2667	45	39.79596948623657	B88CA15data78
79	2569	50	3.7454159259796143	B88CA15data79
80	2602	46	30.327975511550903	B88CA15data80
81	2497	43	31.17768168449402	B88CA15data81
82	2700	48	29.672107696533203	B88CA15data82
83	3072	51	36.754488945007324	B88CA15data83
84	3155	54	12.328633069992065	B88CA15data84
85	2909	45	58.205384492874146	B88CA15data85
86	2383	47	37.38105607032776	B88CA15data86
87	2680	43	27.936777353286743	B88CA15data87
88	3392	56	36.71024823188782	B88CA15data88
89	3059	52	7.754919052124023	B88CA15data89
90	3260	57	44.277172565460205	B88CA15data90
91	2479	48	30.855669736862183	B88CA15data91
92	2951	53	35.29955863952637	B88CA15data92
93	2072	38	1.4813134670257568	B88CA15data93
94	2891	49	34.762760639190674	B88CA15data94
95	1475	27	5.766510725021362	B88CA15data95
96	2802	51	29.247819185256958	B88CA15data96
97	2660	48	2.3551077842712402	B88CA15data97
98	2642	50	18.30047345161438	B88CA15data98
99	2717	46	35.43475556373596	B88CA15data99
