Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	4101	69	30.71488332748413	B10CA15NAV6V2data0
1	3825	62	29.664353132247925	B10CA15NAV6V2data1
2	3726	61	27.664169311523438	B10CA15NAV6V2data2
3	3408	54	18.547332525253296	B10CA15NAV6V2data3
4	5007	81	36.51384520530701	B10CA15NAV6V2data4
5	3651	56	18.842636108398438	B10CA15NAV6V2data5
6	3837	60	22.436582565307617	B10CA15NAV6V2data6
7	4279	69	30.98015785217285	B10CA15NAV6V2data7
8	3634	62	21.149781465530396	B10CA15NAV6V2data8
9	4036	64	35.35692381858826	B10CA15NAV6V2data9
10	3266	54	20.422537565231323	B10CA15NAV6V2data10
11	4233	69	34.5200936794281	B10CA15NAV6V2data11
12	4629	68	35.79923868179321	B10CA15NAV6V2data12
13	3890	57	23.671473264694214	B10CA15NAV6V2data13
14	3830	57	18.544297695159912	B10CA15NAV6V2data14
15	3789	60	24.117859840393066	B10CA15NAV6V2data15
16	4014	61	28.93784260749817	B10CA15NAV6V2data16
17	4054	63	51.210816621780396	B10CA15NAV6V2data17
18	4171	67	28.45252227783203	B10CA15NAV6V2data18
19	3839	62	25.521973133087158	B10CA15NAV6V2data19
20	3556	61	22.162303686141968	B10CA15NAV6V2data20
21	3920	62	22.14377784729004	B10CA15NAV6V2data21
22	4150	64	29.88385820388794	B10CA15NAV6V2data22
23	4267	67	28.7010977268219	B10CA15NAV6V2data23
24	3400	55	20.723255157470703	B10CA15NAV6V2data24
25	4665	73	37.157161235809326	B10CA15NAV6V2data25
26	4163	63	27.147377252578735	B10CA15NAV6V2data26
27	3961	63	22.96906542778015	B10CA15NAV6V2data27
28	3464	56	21.163764238357544	B10CA15NAV6V2data28
29	4152	64	28.96432662010193	B10CA15NAV6V2data29
30	3363	58	22.7929470539093	B10CA15NAV6V2data30
31	4066	67	29.41178011894226	B10CA15NAV6V2data31
32	4117	64	28.240521669387817	B10CA15NAV6V2data32
33	3814	62	25.089329481124878	B10CA15NAV6V2data33
34	4888	77	40.43710899353027	B10CA15NAV6V2data34
35	3852	66	29.24407196044922	B10CA15NAV6V2data35
36	4246	66	25.600807666778564	B10CA15NAV6V2data36
37	4096	68	28.626579523086548	B10CA15NAV6V2data37
38	3896	61	29.830812692642212	B10CA15NAV6V2data38
39	4228	70	29.66539740562439	B10CA15NAV6V2data39
40	3915	63	23.464416980743408	B10CA15NAV6V2data40
41	4386	72	37.73299288749695	B10CA15NAV6V2data41
42	4774	76	48.97771215438843	B10CA15NAV6V2data42
43	3777	63	27.57436466217041	B10CA15NAV6V2data43
44	4623	66	33.05146622657776	B10CA15NAV6V2data44
45	3636	58	23.257470846176147	B10CA15NAV6V2data45
46	3298	55	18.033162593841553	B10CA15NAV6V2data46
47	4035	63	23.6712327003479	B10CA15NAV6V2data47
48	4062	61	26.901454210281372	B10CA15NAV6V2data48
49	3932	62	32.56377458572388	B10CA15NAV6V2data49
50	3977	63	27.153125762939453	B10CA15NAV6V2data50
51	3864	61	23.199094533920288	B10CA15NAV6V2data51
52	4555	67	37.90915584564209	B10CA15NAV6V2data52
53	4773	76	42.074196100234985	B10CA15NAV6V2data53
54	3828	58	27.97582221031189	B10CA15NAV6V2data54
55	4213	70	42.01300120353699	B10CA15NAV6V2data55
56	4410	69	37.64353132247925	B10CA15NAV6V2data56
57	4341	66	33.01553201675415	B10CA15NAV6V2data57
58	4466	68	29.394237279891968	B10CA15NAV6V2data58
59	3606	58	24.56510591506958	B10CA15NAV6V2data59
60	3780	61	24.154088497161865	B10CA15NAV6V2data60
61	4212	66	28.529451847076416	B10CA15NAV6V2data61
