Trial Number	Score	Moogles Eaten	Time Taken	Data Location
1	5271	75	5.630907297	B10CA15NAV6data1
29	5046	73	5.153219223	B10CA15NAV6data29
45	4997	77	4.927862167	B10CA15NAV6data45
4	4929	82	5.762614489	B10CA15NAV6data4
5	4846	72	5.374624968	B10CA15NAV6data5
47	4804	77	6.832724094	B10CA15NAV6data47
18	4800	74	6.189406395	B10CA15NAV6data18
19	4583	70	4.983665943	B10CA15NAV6data19
30	4562	70	4.681476831	B10CA15NAV6data30
48	4555	68	4.836071014	B10CA15NAV6data48
38	4520	68	4.179819107	B10CA15NAV6data38
32	4490	68	4.689494371	B10CA15NAV6data32
36	4418	70	4.189803123	B10CA15NAV6data36
15	4324	69	4.267766714	B10CA15NAV6data15
46	4315	67	3.979325056	B10CA15NAV6data46
31	4233	63	3.753967285	B10CA15NAV6data31
39	4232	63	3.594385386	B10CA15NAV6data39
16	4187	67	3.547515392	B10CA15NAV6data16
43	4164	62	3.579439878	B10CA15NAV6data43
40	4125	65	3.87463522	B10CA15NAV6data40
21	4113	63	5.460460663	B10CA15NAV6data21
26	4097	62	4.463798761	B10CA15NAV6data26
13	4057	63	3.792824507	B10CA15NAV6data13
22	4054	61	3.189473152	B10CA15NAV6data22
12	4012	65	2.210093975	B10CA15NAV6data12
27	4012	60	3.410904408	B10CA15NAV6data27
44	3983	63	3.822727442	B10CA15NAV6data44
2	3974	66	3.542562485	B10CA15NAV6data2
17	3963	67	4.26060462	B10CA15NAV6data17
28	3916	61	3.426635981	B10CA15NAV6data28
7	3877	64	3.529523849	B10CA15NAV6data7
20	3808	57	2.849355936	B10CA15NAV6data20
37	3794	59	3.715105057	B10CA15NAV6data37
33	3787	60	3.059796095	B10CA15NAV6data33
23	3747	63	3.675405502	B10CA15NAV6data23
9	3746	65	3.134660482	B10CA15NAV6data9
35	3697	59	3.094724178	B10CA15NAV6data35
34	3662	63	3.036910295	B10CA15NAV6data34
10	3635	57	3.226409435	B10CA15NAV6data10
11	3600	54	2.821457148	B10CA15NAV6data11
0	3568	56	3.165523291	B10CA15NAV6data0
41	3552	62	3.907548904	B10CA15NAV6data41
6	3476	57	3.22636795	B10CA15NAV6data6
49	3460	57	2.939581156	B10CA15NAV6data49
8	3459	56	2.478369713	B10CA15NAV6data8
42	3446	58	2.958125591	B10CA15NAV6data42
25	3373	57	3.536746025	B10CA15NAV6data25
3	3275	57	2.97789526	B10CA15NAV6data3
24	3253	57	3.341802597	B10CA15NAV6data24
14	3167	53	2.816510201	B10CA15NAV6data14
AVERAGE	4059.28	64.04	3.902012572	
MAX	5271	82	6.832724094	
MIN	3167	53	2.210093975	
MEDIAN	4012	63	3.634895444	
97th%	4966.4	76.1	5.703346252	
5th%	3319.1	56	2.818736327	
