Trial Number	Score	Moogles Eaten	Time Taken	Data Location
2	4777	74	8.135900736	B10CA15NAV6v3data2
37	4764	79	5.656380892	B10CA15NAV6v3data37
65	4763	78	7.634107828	B10CA15NAV6v3data65
58	4734	79	7.581551552	B10CA15NAV6v3data58
89	4641	69	4.734449387	B10CA15NAV6v3data89
40	4598	71	5.04268837	B10CA15NAV6v3data40
39	4593	72	5.088609457	B10CA15NAV6v3data39
94	4590	75	5.071722746	B10CA15NAV6v3data94
79	4535	72	5.338305235	B10CA15NAV6v3data79
82	4515	73	4.228617668	B10CA15NAV6v3data82
83	4465	71	4.300085306	B10CA15NAV6v3data83
12	4462	71	4.85013628	B10CA15NAV6v3data12
44	4440	68	4.691178322	B10CA15NAV6v3data44
17	4439	68	4.081289291	B10CA15NAV6v3data17
33	4439	72	4.877616644	B10CA15NAV6v3data33
80	4353	66	4.216969252	B10CA15NAV6v3data80
25	4294	66	4.372843981	B10CA15NAV6v3data25
60	4273	67	5.484902859	B10CA15NAV6v3data60
20	4258	67	4.613283396	B10CA15NAV6v3data20
69	4245	66	4.224619389	B10CA15NAV6v3data69
96	4219	65	4.093870163	B10CA15NAV6v3data96
26	4174	68	4.190984011	B10CA15NAV6v3data26
5	4167	67	4.088315964	B10CA15NAV6v3data5
7	4156	67	3.960818291	B10CA15NAV6v3data7
95	4155	67	4.335909367	B10CA15NAV6v3data95
63	4146	65	4.488577127	B10CA15NAV6v3data63
70	4130	66	4.228556633	B10CA15NAV6v3data70
36	4116	62	4.047771454	B10CA15NAV6v3data36
32	4110	67	4.23036623	B10CA15NAV6v3data32
68	4096	70	5.582879066	B10CA15NAV6v3data68
4	4089	67	4.360885859	B10CA15NAV6v3data4
75	4076	66	3.963053703	B10CA15NAV6v3data75
93	4074	61	3.542377234	B10CA15NAV6v3data93
54	4070	60	3.699306011	B10CA15NAV6v3data54
11	4038	62	3.053468943	B10CA15NAV6v3data11
21	4038	62	3.360527277	B10CA15NAV6v3data21
61	4030	68	3.900891781	B10CA15NAV6v3data61
98	4029	59	3.33830142	B10CA15NAV6v3data98
86	4023	63	4.154391289	B10CA15NAV6v3data86
81	4003	63	3.367953777	B10CA15NAV6v3data81
34	4000	65	4.268719673	B10CA15NAV6v3data34
15	3999	62	3.833947897	B10CA15NAV6v3data15
57	3994	59	3.960288525	B10CA15NAV6v3data57
64	3981	58	3.685254812	B10CA15NAV6v3data64
30	3974	65	4.114191532	B10CA15NAV6v3data30
42	3967	60	3.473701239	B10CA15NAV6v3data42
23	3965	64	3.863309145	B10CA15NAV6v3data23
24	3964	65	4.032897234	B10CA15NAV6v3data24
14	3926	62	3.593199015	B10CA15NAV6v3data14
43	3915	61	4.115722418	B10CA15NAV6v3data43
97	3903	59	3.408468723	B10CA15NAV6v3data97
19	3899	61	3.839377642	B10CA15NAV6v3data19
48	3896	65	4.01343298	B10CA15NAV6v3data48
22	3889	61	3.554759979	B10CA15NAV6v3data22
27	3889	62	3.44341898	B10CA15NAV6v3data27
90	3885	61	2.961724997	B10CA15NAV6v3data90
84	3871	68	3.953774214	B10CA15NAV6v3data84
51	3864	61	4.003737926	B10CA15NAV6v3data51
66	3856	59	3.402005911	B10CA15NAV6v3data66
87	3842	61	3.4187994	B10CA15NAV6v3data87
73	3836	63	3.802584887	B10CA15NAV6v3data73
47	3834	59	3.384977341	B10CA15NAV6v3data47
10	3833	64	3.825238466	B10CA15NAV6v3data10
91	3830	59	4.035668612	B10CA15NAV6v3data91
78	3829	59	4.418890476	B10CA15NAV6v3data78
71	3825	62	3.207341909	B10CA15NAV6v3data71
29	3816	63	3.509708166	B10CA15NAV6v3data29
1	3797	60	3.198978424	B10CA15NAV6v3data1
28	3793	59	3.549024105	B10CA15NAV6v3data28
45	3791	64	4.596674919	B10CA15NAV6v3data45
53	3785	61	2.898943186	B10CA15NAV6v3data53
38	3776	61	3.04100585	B10CA15NAV6v3data38
62	3761	62	3.964894056	B10CA15NAV6v3data62
0	3743	59	3.427392244	B10CA15NAV6v3data0
85	3742	58	3.515902519	B10CA15NAV6v3data85
8	3729	63	3.636568308	B10CA15NAV6v3data8
9	3708	63	3.707997322	B10CA15NAV6v3data9
50	3702	57	3.848327875	B10CA15NAV6v3data50
46	3693	58	3.013006687	B10CA15NAV6v3data46
18	3689	58	3.517847776	B10CA15NAV6v3data18
35	3671	59	3.564761877	B10CA15NAV6v3data35
59	3671	61	4.283647299	B10CA15NAV6v3data59
16	3664	58	2.974960089	B10CA15NAV6v3data16
92	3659	58	2.865363121	B10CA15NAV6v3data92
49	3625	59	3.301009417	B10CA15NAV6v3data49
52	3610	54	3.37945962	B10CA15NAV6v3data52
67	3515	60	4.97873044	B10CA15NAV6v3data67
41	3503	57	3.371064663	B10CA15NAV6v3data41
74	3497	55	2.901586056	B10CA15NAV6v3data74
6	3495	55	3.367634773	B10CA15NAV6v3data6
76	3488	56	2.765924692	B10CA15NAV6v3data76
88	3472	56	3.1672647	B10CA15NAV6v3data88
3	3422	58	3.875913858	B10CA15NAV6v3data3
31	3398	53	2.548072577	B10CA15NAV6v3data31
56	3387	55	3.194856882	B10CA15NAV6v3data56
72	3387	60	3.009437323	B10CA15NAV6v3data72
55	3344	58	2.779504299	B10CA15NAV6v3data55
77	3295	55	3.085535765	B10CA15NAV6v3data77
99	3293	55	3.029736996	B10CA15NAV6v3data99
13	3057	55	2.30654645	B10CA15NAV6v3data13
	3955.61	63.07	3.960071805	
