Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	3909	63	1.9791498184204102	B10CA15NAVDEATHdata0
1	3476	59	4.032186031341553	B10CA15NAVDEATHdata1
2	3789	63	2.699800491333008	B10CA15NAVDEATHdata2
3	4307	63	3.1396048069000244	B10CA15NAVDEATHdata3
4	3883	56	2.835451364517212	B10CA15NAVDEATHdata4
5	4144	61	2.4714298248291016	B10CA15NAVDEATHdata5
6	3439	58	3.5465195178985596	B10CA15NAVDEATHdata6
7	3939	65	2.941500425338745	B10CA15NAVDEATHdata7
8	4510	67	2.7576138973236084	B10CA15NAVDEATHdata8
9	4118	68	3.179535150527954	B10CA15NAVDEATHdata9
10	2213	37	1.5829565525054932	B10CA15NAVDEATHdata10
11	5006	78	2.9979779720306396	B10CA15NAVDEATHdata11
12	4072	63	2.9690635204315186	B10CA15NAVDEATHdata12
13	3131	47	1.6745190620422363	B10CA15NAVDEATHdata13
14	3434	55	2.699779987335205	B10CA15NAVDEATHdata14
15	4292	67	5.09342098236084	B10CA15NAVDEATHdata15
16	3717	57	2.864489793777466	B10CA15NAVDEATHdata16
17	3905	62	2.635956048965454	B10CA15NAVDEATHdata17
18	3677	56	2.633963108062744	B10CA15NAVDEATHdata18
19	3938	56	2.380664587020874	B10CA15NAVDEATHdata19
20	3451	55	3.156604766845703	B10CA15NAVDEATHdata20
21	4404	72	3.384948253631592	B10CA15NAVDEATHdata21
22	3381	53	2.812169313430786	B10CA15NAVDEATHdata22
23	4258	66	3.734060049057007	B10CA15NAVDEATHdata23
24	3421	57	2.8573596477508545	B10CA15NAVDEATHdata24
25	4467	70	3.958448886871338	B10CA15NAVDEATHdata25
26	3663	63	3.151578187942505	B10CA15NAVDEATHdata26
27	4054	65	3.1386048793792725	B10CA15NAVDEATHdata27
28	4085	66	3.594420909881592	B10CA15NAVDEATHdata28
29	3956	63	2.780567169189453	B10CA15NAVDEATHdata29
30	3526	56	2.4634604454040527	B10CA15NAVDEATHdata30
31	4631	70	3.6559135913848877	B10CA15NAVDEATHdata31
32	4024	59	2.958118438720703	B10CA15NAVDEATHdata32
33	3932	63	3.360031843185425	B10CA15NAVDEATHdata33
34	3657	58	2.9730517864227295	B10CA15NAVDEATHdata34
35	4306	69	2.7875404357910156	B10CA15NAVDEATHdata35
36	4182	70	2.350714683532715	B10CA15NAVDEATHdata36
37	2516	38	0.7350366115570068	B10CA15NAVDEATHdata37
38	4221	69	2.8992397785186768	B10CA15NAVDEATHdata38
39	4495	67	2.5651397705078125	B10CA15NAVDEATHdata39
40	4138	67	3.4956512451171875	B10CA15NAVDEATHdata40
41	4297	70	3.096762180328369	B10CA15NAVDEATHdata41
42	4614	74	3.9085848331451416	B10CA15NAVDEATHdata42
43	4218	65	2.654925584793091	B10CA15NAVDEATHdata43
44	4020	67	3.331125497817993	B10CA15NAVDEATHdata44
45	4253	65	3.0837864875793457	B10CA15NAVDEATHdata45
46	4069	66	3.9225146770477295	B10CA15NAVDEATHdata46
47	3849	62	2.9720733165740967	B10CA15NAVDEATHdata47
48	3950	61	3.1964635848999023	B10CA15NAVDEATHdata48
49	4118	64	2.9022560119628906	B10CA15NAVDEATHdata49
50	4101	62	3.4038987159729004	B10CA15NAVDEATHdata50
51	3863	66	4.372307538986206	B10CA15NAVDEATHdata51
52	4044	65	4.031222581863403	B10CA15NAVDEATHdata52
53	3707	65	3.112468719482422	B10CA15NAVDEATHdata53
54	3903	64	3.1406314373016357	B10CA15NAVDEATHdata54
55	3544	57	2.7596092224121094	B10CA15NAVDEATHdata55
56	4313	65	3.250203847885132	B10CA15NAVDEATHdata56
57	3368	57	3.3999087810516357	B10CA15NAVDEATHdata57
58	5020	77	4.097614765167236	B10CA15NAVDEATHdata58
59	4331	70	3.619384288787842	B10CA15NAVDEATHdata59
60	4900	81	3.7116684913635254	B10CA15NAVDEATHdata60
61	4707	74	3.136654853820801	B10CA15NAVDEATHdata61
62	3709	65	3.9574124813079834	B10CA15NAVDEATHdata62
63	4192	65	3.0707879066467285	B10CA15NAVDEATHdata63
64	3350	57	3.4278340339660645	B10CA15NAVDEATHdata64
65	4252	65	3.112346887588501	B10CA15NAVDEATHdata65
66	4547	68	3.106686592102051	B10CA15NAVDEATHdata66
67	3968	62	4.9228363037109375	B10CA15NAVDEATHdata67
68	4161	68	3.301172971725464	B10CA15NAVDEATHdata68
69	4494	68	2.842433214187622	B10CA15NAVDEATHdata69
70	3549	56	2.930187940597534	B10CA15NAVDEATHdata70
71	3917	65	4.227741718292236	B10CA15NAVDEATHdata71
72	3528	57	2.544490337371826	B10CA15NAVDEATHdata72
73	3363	56	2.4265377521514893	B10CA15NAVDEATHdata73
74	3411	55	2.8394060134887695	B10CA15NAVDEATHdata74
75	4559	67	4.6785924434661865	B10CA15NAVDEATHdata75
76	4172	62	3.919963836669922	B10CA15NAVDEATHdata76
77	3830	62	2.6120738983154297	B10CA15NAVDEATHdata77
78	3952	65	3.4655773639678955	B10CA15NAVDEATHdata78
79	4012	60	3.630434513092041	B10CA15NAVDEATHdata79
80	3480	56	1.848576307296753	B10CA15NAVDEATHdata80
81	4601	72	4.122013568878174	B10CA15NAVDEATHdata81
82	4035	63	2.37467885017395	B10CA15NAVDEATHdata82
83	4233	68	3.134647846221924	B10CA15NAVDEATHdata83
