Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	8172	97	357.64704060554504	B10CA30DSL10CALC2NAV7data0
1	8209	95	324.2243721485138	B10CA30DSL10CALC2NAV7data1
2	7481	99	291.1934537887573	B10CA30DSL10CALC2NAV7data2
3	7428	99	300.58142495155334	B10CA30DSL10CALC2NAV7data3
4	8083	99	400.7368402481079	B10CA30DSL10CALC2NAV7data4
5	7878	99	351.43848967552185	B10CA30DSL10CALC2NAV7data5
6	6744	87	371.85995411872864	B10CA30DSL10CALC2NAV7data6
7	8015	97	362.7352213859558	B10CA30DSL10CALC2NAV7data7
8	5432	70	195.79549145698547	B10CA30DSL10CALC2NAV7data8
9	7822	99	255.6776478290558	B10CA30DSL10CALC2NAV7data9
10	7128	97	315.81270122528076	B10CA30DSL10CALC2NAV7data10
11	6941	91	374.9662010669708	B10CA30DSL10CALC2NAV7data11
12	4806	59	148.75629496574402	B10CA30DSL10CALC2NAV7data12
13	8300	99	285.6420919895172	B10CA30DSL10CALC2NAV7data13
14	5067	73	199.22847151756287	B10CA30DSL10CALC2NAV7data14
15	7481	95	331.8986225128174	B10CA30DSL10CALC2NAV7data15
16	7789	97	334.0679392814636	B10CA30DSL10CALC2NAV7data16
17	7578	95	332.22076439857483	B10CA30DSL10CALC2NAV7data17
18	7829	99	360.7565324306488	B10CA30DSL10CALC2NAV7data18
19	7506	97	323.67521929740906	B10CA30DSL10CALC2NAV7data19
20	7929	97	301.78021335601807	B10CA30DSL10CALC2NAV7data20
21	7785	95	369.4632828235626	B10CA30DSL10CALC2NAV7data21
22	7258	92	351.14038586616516	B10CA30DSL10CALC2NAV7data22
23	6242	83	238.41257309913635	B10CA30DSL10CALC2NAV7data23
24	5652	81	276.06500148773193	B10CA30DSL10CALC2NAV7data24
25	7998	99	405.2297592163086	B10CA30DSL10CALC2NAV7data25
26	4585	61	180.98414540290833	B10CA30DSL10CALC2NAV7data26
27	7359	99	246.79017305374146	B10CA30DSL10CALC2NAV7data27
28	7735	99	358.21712946891785	B10CA30DSL10CALC2NAV7data28
29	7670	97	366.66982650756836	B10CA30DSL10CALC2NAV7data29
30	4608	60	173.19783329963684	B10CA30DSL10CALC2NAV7data30
31	7226	95	303.8817205429077	B10CA30DSL10CALC2NAV7data31
32	7721	99	332.1650359630585	B10CA30DSL10CALC2NAV7data32
33	7564	99	326.38543725013733	B10CA30DSL10CALC2NAV7data33
34	8448	99	347.68854236602783	B10CA30DSL10CALC2NAV7data34
35	7460	93	365.31336307525635	B10CA30DSL10CALC2NAV7data35
