Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	6677	70	160.3177853	B10CA30DSL5MP2NAV5data0
1	7074	72	166.826786	B10CA30DSL5MP2NAV5data1
2	7904	83	222.4716835	B10CA30DSL5MP2NAV5data2
3	8433	87	218.2862735	B10CA30DSL5MP2NAV5data3
4	8127	86	211.3165205	B10CA30DSL5MP2NAV5data4
5	7225	73	169.9252872	B10CA30DSL5MP2NAV5data5
6	8644	92	288.8342812	B10CA30DSL5MP2NAV5data6
7	7274	69	134.0596285	B10CA30DSL5MP2NAV5data7
8	9085	92	266.8758423	B10CA30DSL5MP2NAV5data8
9	8448	85	198.3855569	B10CA30DSL5MP2NAV5data9
10	7756	77	188.1352799	B10CA30DSL5MP2NAV5data10
11	9793	96	227.7204628	B10CA30DSL5MP2NAV5data11
12	7693	82	180.0293109	B10CA30DSL5MP2NAV5data12
13	9416	92	277.9763792	B10CA30DSL5MP2NAV5data13
14	8693	87	241.5157149	B10CA30DSL5MP2NAV5data14
15	6632	65	130.6084323	B10CA30DSL5MP2NAV5data15
16	8116	79	185.429028	B10CA30DSL5MP2NAV5data16
17	8219	82	198.6097264	B10CA30DSL5MP2NAV5data17
18	5713	60	101.9711761	B10CA30DSL5MP2NAV5data18
19	8180	83	190.8723648	B10CA30DSL5MP2NAV5data19
20	7073	70	141.4861133	B10CA30DSL5MP2NAV5data20
21	7584	82	207.0694222	B10CA30DSL5MP2NAV5data21
22	9156	95	239.861542	B10CA30DSL5MP2NAV5data22
23	7688	74	185.2131083	B10CA30DSL5MP2NAV5data23
24	9005	91	246.5251594	B10CA30DSL5MP2NAV5data24
25	6874	72	131.7579212	B10CA30DSL5MP2NAV5data25
26	9053	91	270.829247	B10CA30DSL5MP2NAV5data26
27	7124	68	143.0278993	B10CA30DSL5MP2NAV5data27
28	9027	93	276.7753801	B10CA30DSL5MP2NAV5data28
29	8962	90	246.9136481	B10CA30DSL5MP2NAV5data29
30	7529	74	144.1098592	B10CA30DSL5MP2NAV5data30
31	6905	71	151.2456765	B10CA30DSL5MP2NAV5data31
32	8722	90	208.4158351	B10CA30DSL5MP2NAV5data32
33	8177	87	216.7795529	B10CA30DSL5MP2NAV5data33
34	7281	76	206.5575721	B10CA30DSL5MP2NAV5data34
35	7625	81	169.001971	B10CA30DSL5MP2NAV5data35
36	9077	91	249.7521849	B10CA30DSL5MP2NAV5data36
37	7359	82	204.6160092	B10CA30DSL5MP2NAV5data37
38	7314	74	179.7994466	B10CA30DSL5MP2NAV5data38
39	8590	89	269.0468197	B10CA30DSL5MP2NAV5data39
40	8172	82	180.7997701	B10CA30DSL5MP2NAV5data40
41	9409	90	258.9255891	B10CA30DSL5MP2NAV5data41
42	8071	78	205.8858697	B10CA30DSL5MP2NAV5data42
43	9099	93	258.353337	B10CA30DSL5MP2NAV5data43
44	7135	76	157.9832428	B10CA30DSL5MP2NAV5data44
45	8165	77	156.4519095	B10CA30DSL5MP2NAV5data45
46	5626	57	75.76767588	B10CA30DSL5MP2NAV5data46
47	7952	81	191.5692744	B10CA30DSL5MP2NAV5data47
48	9714	94	217.3089802	B10CA30DSL5MP2NAV5data48
49	9386	94	235.5330663	B10CA30DSL5MP2NAV5data49
50	9789	94	256.0503426	B10CA30DSL5MP2NAV5data50
51	7171	82	199.6008654	B10CA30DSL5MP2NAV5data51
52	8823	88	236.0745246	B10CA30DSL5MP2NAV5data52
53	8696	89	217.803813	B10CA30DSL5MP2NAV5data53
54	9181	90	211.0357194	B10CA30DSL5MP2NAV5data54
55	8513	89	231.0318244	B10CA30DSL5MP2NAV5data55
56	8288	84	226.0391095	B10CA30DSL5MP2NAV5data56
57	9176	89	205.3414536	B10CA30DSL5MP2NAV5data57
58	6701	66	175.604274	B10CA30DSL5MP2NAV5data58
59	6943	69	136.7346737	B10CA30DSL5MP2NAV5data59
60	6582	67	124.5000236	B10CA30DSL5MP2NAV5data60
61	8645	83	185.8845711	B10CA30DSL5MP2NAV5data61
62	7420	73	147.3957589	B10CA30DSL5MP2NAV5data62
63	8663	93	246.9331684	B10CA30DSL5MP2NAV5data63
64	8144	82	184.167634	B10CA30DSL5MP2NAV5data64
65	8228	89	213.7829947	B10CA30DSL5MP2NAV5data65
66	6786	69	150.6241236	B10CA30DSL5MP2NAV5data66
67	8216	81	216.1100669	B10CA30DSL5MP2NAV5data67
68	9696	94	278.4476767	B10CA30DSL5MP2NAV5data68
69	9439	97	295.5437446	B10CA30DSL5MP2NAV5data69
70	6947	69	143.5189371	B10CA30DSL5MP2NAV5data70
71	7829	86	221.11009	B10CA30DSL5MP2NAV5data71
72	8363	83	205.1659458	B10CA30DSL5MP2NAV5data72
73	8880	88	232.1182592	B10CA30DSL5MP2NAV5data73
74	7911	77	160.6115103	B10CA30DSL5MP2NAV5data74
75	9075	95	249.7416341	B10CA30DSL5MP2NAV5data75
76	7620	80	217.616025	B10CA30DSL5MP2NAV5data76
77	8038	85	229.8564699	B10CA30DSL5MP2NAV5data77
78	9349	92	322.6721175	B10CA30DSL5MP2NAV5data78
79	8584	84	255.2461374	B10CA30DSL5MP2NAV5data79
80	7593	77	172.3431618	B10CA30DSL5MP2NAV5data80
81	9183	97	267.4717329	B10CA30DSL5MP2NAV5data81
82	8911	85	204.4939058	B10CA30DSL5MP2NAV5data82
83	8762	95	242.7431257	B10CA30DSL5MP2NAV5data83
84	7748	79	164.0763917	B10CA30DSL5MP2NAV5data84
85	7745	81	237.6463859	B10CA30DSL5MP2NAV5data85
86	7828	83	203.2945886	B10CA30DSL5MP2NAV5data86
87	6063	62	99.52232742	B10CA30DSL5MP2NAV5data87
88	8903	84	207.0471163	B10CA30DSL5MP2NAV5data88
89	8141	81	182.7257643	B10CA30DSL5MP2NAV5data89
90	5994	66	148.0196235	B10CA30DSL5MP2NAV5data90
91	8629	90	217.6539626	B10CA30DSL5MP2NAV5data91
92	6479	68	156.4382935	B10CA30DSL5MP2NAV5data92
93	7081	73	169.6446307	B10CA30DSL5MP2NAV5data93
94	9088	88	256.6716516	B10CA30DSL5MP2NAV5data94
95	8319	83	224.1801696	B10CA30DSL5MP2NAV5data95
96	6857	72	175.7197196	B10CA30DSL5MP2NAV5data96
97	8609	87	275.4182889	B10CA30DSL5MP2NAV5data97
98	7593	75	191.0751402	B10CA30DSL5MP2NAV5data98
99	8762	88	282.2164252	B10CA30DSL5MP2NAV5data99
				
AVG	8079.4	81.96		
MAX	9793	97		
MIN	5626	57		
STDEV	961.5041037	9.337574794		
