Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	6235	77	74.87043333	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata0
1	5845	77	87.46669459	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata1
2	5445	67	36.4996767	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata2
3	6762	83	76.2507019	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata3
4	6163	77	78.2714138	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata4
5	5060	71	47.64821386	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata5
6	5184	68	38.38989663	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata6
7	6769	83	96.14924264	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata7
8	4886	66	35.88839483	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata8
9	6765	87	66.41624451	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata9
10	7641	93	80.0145061	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata10
11	7363	97	92.23541951	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata11
12	7168	91	78.27276182	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata12
13	6536	79	128.7641487	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata13
14	6447	83	64.03614378	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata14
15	7426	95	109.5820065	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata15
16	6702	83	79.43763065	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata16
17	6751	89	100.0257666	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata17
18	7438	95	108.4955935	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata18
19	7435	99	85.60164404	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata19
20	7347	91	88.41147137	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata20
21	6207	77	72.99244475	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata21
22	5390	73	49.7949388	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata22
23	7315	89	114.6942799	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata23
24	7609	91	113.4591637	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata24
25	4666	59	18.57427311	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata25
26	7725	95	98.75018215	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata26
27	6212	73	62.75107431	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata27
28	6585	87	76.73490858	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata28
29	7453	93	84.14215755	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata29
30	7435	95	79.23336053	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata30
31	7868	95	98.27444744	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata31
32	5359	75	53.05476642	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata32
33	6113	79	86.32477593	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata33
34	7755	89	119.8282344	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata34
35	6877	87	79.33633375	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata35
36	7112	91	83.52983832	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata36
37	5137	59	16.31551957	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata37
38	7541	93	97.8485043	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata38
39	7640	99	81.9548409	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata39
40	7884	93	104.2882266	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata40
41	6732	91	80.31417441	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata41
42	6929	89	91.78164172	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata42
43	6730	81	71.35220075	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata43
44	7536	97	65.88701558	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata44
45	7845	99	96.43034506	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata45
46	5769	71	52.87167382	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata46
47	6782	85	74.12489247	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata47
48	7330	93	76.22899747	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata48
49	3629	47	4.60573101	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata49
50	7340	91	91.93385243	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata50
51	6519	79	66.02360845	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata51
52	5586	74	60.47037649	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata52
53	5684	75	46.70662379	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata53
54	7958	95	92.30408859	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata54
55	5485	67	54.06477761	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata55
56	7049	87	87.08291888	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata56
57	7389	95	69.16153502	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata57
58	6597	85	98.59507084	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata58
59	8555	99	90.00121927	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata59
60	7356	81	160.7456453	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata60
61	7902	95	157.0761981	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata61
62	7570	93	107.6161489	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata62
63	8641	99	169.9063821	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata63
64	6646	79	87.66126609	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata64
65	7411	97	163.9823372	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata65
66	7527	93	164.574908	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata66
67	7983	99	145.730093	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata67
68	6880	89	99.62207961	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata68
69	7547	95	128.7168684	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata69
70	7845	97	148.2050488	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata70
71	3933	47	6.821139574	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata71
72	7494	97	173.4585395	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata72
73	6390	81	123.5456243	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata73
74	7097	91	180.5469632	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata74
75	5471	75	141.9716322	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata75
76	7313	91	197.3020046	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata76
77	5535	67	94.87599325	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata77
78	6994	91	121.8079436	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata78
79	6106	81	144.6067934	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata79
80	5400	69	64.36796784	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata80
81	5155	59	33.56596398	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata81
82	6366	81	68.24706292	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata82
83	6436	76	53.17831159	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata83
84	6125	77	84.31951261	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata84
85	7206	99	108.433531	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata85
86	6133	81	81.1033597	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata86
87	6574	81	81.24673748	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata87
88	6515	87	108.1350605	B10CA30DSL5MP2SL1000NAV6thinkmoogle0_outputdata88
