Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	7415	97	428.8934254646301	B10CA30DSL5MP3SL530710NAV6data0
1	8172	98	350.8754642009735	B10CA30DSL5MP3SL530710NAV6data1
2	7294	94	566.7886114120483	B10CA30DSL5MP3SL530710NAV6data2
3	7092	85	385.7535102367401	B10CA30DSL5MP3SL530710NAV6data3
4	7878	99	354.0069043636322	B10CA30DSL5MP3SL530710NAV6data4
5	6089	82	282.6908938884735	B10CA30DSL5MP3SL530710NAV6data5
6	5661	67	135.15152621269226	B10CA30DSL5MP3SL530710NAV6data6
7	6116	75	171.5645031929016	B10CA30DSL5MP3SL530710NAV6data7
8	6910	93	457.7087481021881	B10CA30DSL5MP3SL530710NAV6data8
9	8400	99	497.1373426914215	B10CA30DSL5MP3SL530710NAV6data9
10	7978	98	445.6721901893616	B10CA30DSL5MP3SL530710NAV6data10
11	7454	99	520.1438908576965	B10CA30DSL5MP3SL530710NAV6data11
12	5190	67	132.75287795066833	B10CA30DSL5MP3SL530710NAV6data12
13	7523	99	575.6829571723938	B10CA30DSL5MP3SL530710NAV6data13
14	5691	74	266.2918748855591	B10CA30DSL5MP3SL530710NAV6data14
15	5797	78	403.84535574913025	B10CA30DSL5MP3SL530710NAV6data15
16	7524	95	365.2269330024719	B10CA30DSL5MP3SL530710NAV6data16
17	8223	99	666.376115322113	B10CA30DSL5MP3SL530710NAV6data17
18	7045	94	566.0191295146942	B10CA30DSL5MP3SL530710NAV6data18
19	6285	86	438.98392057418823	B10CA30DSL5MP3SL530710NAV6data19
20	7998	99	525.1738336086273	B10CA30DSL5MP3SL530710NAV6data20
21	6101	77	335.42934918403625	B10CA30DSL5MP3SL530710NAV6data21
22	7901	99	403.7358114719391	B10CA30DSL5MP3SL530710NAV6data22
23	7271	99	501.0967147350311	B10CA30DSL5MP3SL530710NAV6data23
24	6937	87	618.0883030891418	B10CA30DSL5MP3SL530710NAV6data24
25	7264	88	371.32926201820374	B10CA30DSL5MP3SL530710NAV6data25
26	5488	79	354.23753547668457	B10CA30DSL5MP3SL530710NAV6data26
27	7137	87	273.335284948349	B10CA30DSL5MP3SL530710NAV6data27
28	8054	99	470.0938093662262	B10CA30DSL5MP3SL530710NAV6data28
29	5805	74	227.6550807952881	B10CA30DSL5MP3SL530710NAV6data29
30	7819	99	508.18231654167175	B10CA30DSL5MP3SL530710NAV6data30
31	6041	80	412.93963265419006	B10CA30DSL5MP3SL530710NAV6data31
32	6728	87	571.2004969120026	B10CA30DSL5MP3SL530710NAV6data32
33	6523	80	331.54825949668884	B10CA30DSL5MP3SL530710NAV6data33
34	5922	72	216.8425636291504	B10CA30DSL5MP3SL530710NAV6data34
35	7847	99	599.4564423561096	B10CA30DSL5MP3SL530710NAV6data35
36	7709	96	497.63082909584045	B10CA30DSL5MP3SL530710NAV6data36
37	7498	95	489.9559986591339	B10CA30DSL5MP3SL530710NAV6data37
38	5896	68	147.29309153556824	B10CA30DSL5MP3SL530710NAV6data38
39	6172	79	383.2349705696106	B10CA30DSL5MP3SL530710NAV6data39
40	4552	61	111.42701482772827	B10CA30DSL5MP3SL530710NAV6data40
41	7504	91	498.4086332321167	B10CA30DSL5MP3SL530710NAV6data41
42	2472	33	12.181835889816284	B10CA30DSL5MP3SL530710NAV6data42
43	8385	96	431.87505054473877	B10CA30DSL5MP3SL530710NAV6data43
44	7472	97	518.8938024044037	B10CA30DSL5MP3SL530710NAV6data44
45	7443	90	511.8412227630615	B10CA30DSL5MP3SL530710NAV6data45
46	8341	99	509.8867838382721	B10CA30DSL5MP3SL530710NAV6data46
47	7466	99	634.2426099777222	B10CA30DSL5MP3SL530710NAV6data47
48	8404	97	394.7134246826172	B10CA30DSL5MP3SL530710NAV6data48
49	7222	89	437.14442110061646	B10CA30DSL5MP3SL530710NAV6data49
50	7583	90	387.6474018096924	B10CA30DSL5MP3SL530710NAV6data50
51	6190	76	286.66659212112427	B10CA30DSL5MP3SL530710NAV6data51
52	6235	79	314.9853434562683	B10CA30DSL5MP3SL530710NAV6data52
53	7067	89	371.3579788208008	B10CA30DSL5MP3SL530710NAV6data53
54	5929	73	321.807537317276	B10CA30DSL5MP3SL530710NAV6data54
55	5787	77	373.4498293399811	B10CA30DSL5MP3SL530710NAV6data55
56	7437	95	492.4161615371704	B10CA30DSL5MP3SL530710NAV6data56
57	5713	75	243.90031743049622	B10CA30DSL5MP3SL530710NAV6data57
58	5456	73	343.39345932006836	B10CA30DSL5MP3SL530710NAV6data58
59	7530	97	460.2452189922333	B10CA30DSL5MP3SL530710NAV6data59
60	7330	98	492.1100435256958	B10CA30DSL5MP3SL530710NAV6data60
61	7977	98	381.65313148498535	B10CA30DSL5MP3SL530710NAV6data61
62	7489	97	483.05426239967346	B10CA30DSL5MP3SL530710NAV6data62
63	7754	95	415.6381182670593	B10CA30DSL5MP3SL530710NAV6data63
64	7156	89	291.1405975818634	B10CA30DSL5MP3SL530710NAV6data64
65	7464	97	638.1159865856171	B10CA30DSL5MP3SL530710NAV6data65
66	6585	87	352.70280289649963	B10CA30DSL5MP3SL530710NAV6data66
67	5743	71	245.83963179588318	B10CA30DSL5MP3SL530710NAV6data67
