Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	7188	97	209.8170307	B10CA30DSL5TG25CALC4data0
1	8126	99	228.8796868	B10CA30DSL5TG25CALC4data1
2	7696	94	232.0268662	B10CA30DSL5TG25CALC4data2
3	7692	99	209.6637094	B10CA30DSL5TG25CALC4data3
4	7767	99	214.4066858	B10CA30DSL5TG25CALC4data4
5	7172	97	202.2981508	B10CA30DSL5TG25CALC4data5
6	6899	93	200.7677221	B10CA30DSL5TG25CALC4data6
7	8167	97	219.8490472	B10CA30DSL5TG25CALC4data7
8	7963	97	191.9434426	B10CA30DSL5TG25CALC4data8
9	7862	99	228.4159951	B10CA30DSL5TG25CALC4data9
10	7514	97	223.5705509	B10CA30DSL5TG25CALC4data10
11	7459	95	204.2345419	B10CA30DSL5TG25CALC4data11
12	8098	99	334.9628303	B10CA30DSL5TG25CALC4data12
13	7934	97	320.0097332	B10CA30DSL5TG25CALC4data13
14	7641	97	229.5025802	B10CA30DSL5TG25CALC4data14
15	8272	97	237.3972938	B10CA30DSL5TG25CALC4data15
16	7161	95	231.0456421	B10CA30DSL5TG25CALC4data16
17	6384	81	234.7204437	B10CA30DSL5TG25CALC4data17
18	6814	89	232.2339082	B10CA30DSL5TG25CALC4data18
19	7617	97	240.6122377	B10CA30DSL5TG25CALC4data19
20	8227	99	273.957757	B10CA30DSL5TG25CALC4data20
21	7424	93	333.841511	B10CA30DSL5TG25CALC4data21
22	7065	87	302.5933263	B10CA30DSL5TG25CALC4data22
23	8101	99	308.6036303	B10CA30DSL5TG25CALC4data23
24	8082	99	293.3250597	B10CA30DSL5TG25CALC4data24
25	7649	95	255.8598804	B10CA30DSL5TG25CALC4data25
26	7693	97	270.7851257	B10CA30DSL5TG25CALC4data26
27	6659	83	232.1984127	B10CA30DSL5TG25CALC4data27
28	7684	99	228.0611746	B10CA30DSL5TG25CALC4data28
29	6503	85	242.9228246	B10CA30DSL5TG25CALC4data29
30	8054	99	296.897253	B10CA30DSL5TG25CALC4data30
31	6425	79	213.9836955	B10CA30DSL5TG25CALC4data31
32	7796	97	224.9723873	B10CA30DSL5TG25CALC4data32
33	6794	89	234.0210564	B10CA30DSL5TG25CALC4data33
34	7761	97	285.2245629	B10CA30DSL5TG25CALC4data34
35	7556	95	236.9330897	B10CA30DSL5TG25CALC4data35
36	7595	95	232.1572304	B10CA30DSL5TG25CALC4data36
37	7070	97	219.3566728	B10CA30DSL5TG25CALC4data37
38	7609	97	247.6187098	B10CA30DSL5TG25CALC4data38
39	7776	95	303.7330761	B10CA30DSL5TG25CALC4data39
40	7917	97	241.627382	B10CA30DSL5TG25CALC4data40
41	8079	97	263.5823243	B10CA30DSL5TG25CALC4data41
42	7412	93	289.553488	B10CA30DSL5TG25CALC4data42
43	7603	97	241.3577702	B10CA30DSL5TG25CALC4data43
44	7692	97	272.595202	B10CA30DSL5TG25CALC4data44
45	7512	97	242.383898	B10CA30DSL5TG25CALC4data45
46	7012	91	246.6112864	B10CA30DSL5TG25CALC4data46
47	7069	93	274.6642504	B10CA30DSL5TG25CALC4data47
48	6703	85	261.5572639	B10CA30DSL5TG25CALC4data48
49	7745	99	285.689146	B10CA30DSL5TG25CALC4data49
	7513.86	94.74	249.6605309	
	498.9202222	4.976721321	35.75145953	
