Score	Moogles Eaten	Time Taken	Data Location
7909	97	57.53118896484375	
Score	Moogles Eaten	Time Taken	Data Location
4982	77	23.648234128952026	
Score	Moogles Eaten	Time Taken	Data Location
3890	59	21.239148378372192	
Score	Moogles Eaten	Time Taken	Data Location
58	0	1.2800698280334473	
Score	Moogles Eaten	Time Taken	Data Location
4389	58	22.961637258529663	
Score	Moogles Eaten	Time Taken	Data Location
3939	56	21.456138849258423	
Score	Moogles Eaten	Time Taken	Data Location
4281	61	24.260271310806274	
Score	Moogles Eaten	Time Taken	Data Location
4247	68	24.19317650794983	
Score	Moogles Eaten	Time Taken	Data Location
7569	95	103.93917798995972	
