Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	6846	89	300.20042514801025	bigbraintimedata0
1	7618	97	312.12606024742126	bigbraintimedata1
2	8014	99	308.9684317111969	bigbraintimedata2
3	6071	77	220.7887783050537	bigbraintimedata3
4	6685	89	276.64561581611633	bigbraintimedata4
5	7847	99	353.6133530139923	bigbraintimedata5
6	6885	89	285.92871260643005	bigbraintimedata6
7	8113	99	329.98691964149475	bigbraintimedata7
8	7231	97	298.3787112236023	bigbraintimedata8
9	7318	89	325.1453492641449	bigbraintimedata9
10	7901	97	292.1265106201172	bigbraintimedata10
11	6920	90	319.30140829086304	bigbraintimedata11
12	6617	81	253.49742889404297	bigbraintimedata12
13	7993	99	284.89430570602417	bigbraintimedata13
14	7425	93	272.13089656829834	bigbraintimedata14
15	5794	76	224.06056094169617	bigbraintimedata15
16	7822	97	277.9578592777252	bigbraintimedata16
17	8146	95	293.1823000907898	bigbraintimedata17
18	7016	91	300.0145275592804	bigbraintimedata18
19	7118	91	319.01363921165466	bigbraintimedata19
20	6420	83	248.3241367340088	bigbraintimedata20
21	6928	83	272.1385614871979	bigbraintimedata21
22	8311	99	362.0272059440613	bigbraintimedata22
23	7751	99	295.6548984050751	bigbraintimedata23
24	7726	99	309.4524230957031	bigbraintimedata24
