Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	189	1	0.45242762565612793	fast1.5data0
1	86	1	0.4299640655517578	fast1.5data1
2	56	0	0.4245767593383789	fast1.5data2
3	63	0	0.4196937084197998	fast1.5data3
4	196	2	0.463301420211792	fast1.5data4
5	67	0	0.4101579189300537	fast1.5data5
6	164	1	0.4458761215209961	fast1.5data6
7	66	0	0.405048131942749	fast1.5data7
8	153	1	0.44988536834716797	fast1.5data8
9	141	1	0.5544614791870117	fast1.5data9
10	65	0	0.4671313762664795	fast1.5data10
11	58	0	0.41593408584594727	fast1.5data11
12	258	2	0.5023965835571289	fast1.5data12
13	60	0	0.40067172050476074	fast1.5data13
14	109	1	0.45116257667541504	fast1.5data14
15	64	0	0.4203312397003174	fast1.5data15
16	213	2	0.47288966178894043	fast1.5data16
17	505	6	0.525348424911499	fast1.5data17
18	190	2	0.46983790397644043	fast1.5data18
19	75	0	0.4038734436035156	fast1.5data19
20	58	0	0.40186071395874023	fast1.5data20
21	86	0	0.4181532859802246	fast1.5data21
22	117	1	0.45732617378234863	fast1.5data22
23	363	5	0.4933333396911621	fast1.5data23
24	56	0	0.41420507431030273	fast1.5data24
25	136	1	0.45980048179626465	fast1.5data25
26	452	6	0.5329782962799072	fast1.5data26
27	59	0	0.4121384620666504	fast1.5data27
28	69	0	0.4337327480316162	fast1.5data28
29	344	4	0.49742603302001953	fast1.5data29
30	119	1	0.4400660991668701	fast1.5data30
31	494	8	0.5508477687835693	fast1.5data31
32	68	0	0.43497419357299805	fast1.5data32
33	114	2	0.4918360710144043	fast1.5data33
34	178	2	0.47995781898498535	fast1.5data34
35	183	2	0.4562101364135742	fast1.5data35
36	56	0	0.44631195068359375	fast1.5data36
37	59	0	0.40932512283325195	fast1.5data37
38	160	1	0.45070886611938477	fast1.5data38
39	61	0	0.4321095943450928	fast1.5data39
40	411	5	0.4888174533843994	fast1.5data40
41	232	3	0.528386116027832	fast1.5data41
42	58	0	0.40462684631347656	fast1.5data42
43	137	1	0.4502289295196533	fast1.5data43
44	68	0	0.39978861808776855	fast1.5data44
45	449	6	0.5267970561981201	fast1.5data45
46	61	0	0.4131035804748535	fast1.5data46
47	200	2	0.48557162284851074	fast1.5data47
48	245	3	0.4855351448059082	fast1.5data48
49	61	0	0.43484950065612793	fast1.5data49
