Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	8704	99	63.11389207839966	fast2data0
1	6141	76	32.74605369567871	fast2data1
2	7947	95	79.43342638015747	fast2data2
3	6695	74	28.760515213012695	fast2data3
4	7311	84	50.387084007263184	fast2data4
5	8267	93	57.223384380340576	fast2data5
6	5050	63	21.555433988571167	fast2data6
7	7961	97	58.87323617935181	fast2data7
8	7672	93	31.39769721031189	fast2data8
9	7860	95	33.67907738685608	fast2data9
10	7549	97	44.034417390823364	fast2data10
11	8802	99	39.29350733757019	fast2data11
12	6902	85	33.443939208984375	fast2data12
13	6044	78	28.40741729736328	fast2data13
14	5810	67	21.143240690231323	fast2data14
15	7308	91	32.93991756439209	fast2data15
