Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	8157	97	47.15214252	fastsettingsdata0
1	8116	97	41.17100286	fastsettingsdata1
2	7446	95	53.68006301	fastsettingsdata2
3	8242	99	64.63214684	fastsettingsdata3
4	7831	89	39.10519886	fastsettingsdata4
5	6703	82	31.26704621	fastsettingsdata5
6	8543	97	33.83790684	fastsettingsdata6
7	6749	85	33.17604542	fastsettingsdata7
8	6426	77	29.59361172	fastsettingsdata8
9	7109	89	24.03241897	fastsettingsdata9
10	9123	97	35.05300331	fastsettingsdata10
11	7827	95	28.95019507	fastsettingsdata11
12	7723	89	45.74085808	fastsettingsdata12
13	6050	70	35.21397543	fastsettingsdata13
14	7116	87	34.86736083	fastsettingsdata14
15	8430	97	23.1970346	fastsettingsdata15
16	7464	96	38.92912078	fastsettingsdata16
17	7961	97	39.81855106	fastsettingsdata17
18	8040	95	32.99730897	fastsettingsdata18
19	7173	85	37.66900492	fastsettingsdata19
20	8407	99	65.03124475	fastsettingsdata20
21	8620	95	35.18066716	fastsettingsdata21
22	5700	66	26.68654847	fastsettingsdata22
23	8151	99	46.9084568	fastsettingsdata23
24	5162	65	17.94509411	fastsettingsdata24
25	6520	80	24.9356432	fastsettingsdata25
26	6516	79	40.8268683	fastsettingsdata26
27	6662	84	40.59522486	fastsettingsdata27
28	8320	99	78.67110109	fastsettingsdata28
29	8534	99	46.37939262	fastsettingsdata29
30	7576	95	26.21357751	fastsettingsdata30
31	7036	84	28.0371716	fastsettingsdata31
32	7942	99	67.23803282	fastsettingsdata32
33	6772	89	32.54723334	fastsettingsdata33
0	8704	99	63.11389208	fast2data0
1	6141	76	32.7460537	fast2data1
2	7947	95	79.43342638	fast2data2
3	6695	74	28.76051521	fast2data3
4	7311	84	50.38708401	fast2data4
5	8267	93	57.22338438	fast2data5
6	5050	63	21.55543399	fast2data6
7	7961	97	58.87323618	fast2data7
8	7672	93	31.39769721	fast2data8
9	7860	95	33.67907739	fast2data9
10	7549	97	44.03441739	fast2data10
11	8802	99	39.29350734	fast2data11
12	6902	85	33.44393921	fast2data12
13	6044	78	28.4074173	fast2data13
14	5810	67	21.14324069	fast2data14
15	7308	91	32.93991756	fast2data15
	7403.4	88.66	39.67424986	
	967.3823084	10.38564551	14.478218	
