Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	6952	93	74.6690080165863	finaltesting30data0
1	6987	95	79.70282340049744	finaltesting30data1
2	7812	99	86.89695858955383	finaltesting30data2
3	8507	99	103.53713059425354	finaltesting30data3
4	6451	75	57.101743936538696	finaltesting30data4
5	7421	97	88.79256248474121	finaltesting30data5
6	7309	95	71.84320116043091	finaltesting30data6
7	5409	71	41.272637605667114	finaltesting30data7
8	7483	95	64.33535408973694	finaltesting30data8
9	6920	95	79.01702165603638	finaltesting30data9
10	7810	95	65.47887754440308	finaltesting30data10
11	7466	97	77.0190818309784	finaltesting30data11
12	4251	52	26.187439441680908	finaltesting30data12
13	6625	85	74.58457517623901	finaltesting30data13
14	7392	97	63.38350963592529	finaltesting30data14
15	7630	97	69.18407273292542	finaltesting30data15
16	7412	95	69.4872612953186	finaltesting30data16
17	7367	97	71.80902051925659	finaltesting30data17
18	7992	99	77.33324456214905	finaltesting30data18
19	5591	75	59.1428906917572	finaltesting30data19
20	7634	97	79.84356546401978	finaltesting30data20
21	8525	99	83.39768552780151	finaltesting30data21
22	7382	89	64.64666771888733	finaltesting30data22
23	5916	77	64.80547428131104	finaltesting30data23
24	7568	97	76.08580493927002	finaltesting30data24
25	5772	81	53.42812705039978	finaltesting30data25
26	8034	97	80.81741905212402	finaltesting30data26
27	8529	99	80.99419903755188	finaltesting30data27
28	7758	99	78.05730700492859	finaltesting30data28
29	8084	99	82.69398283958435	finaltesting30data29
30	7826	97	72.8200626373291	finaltesting30data30
31	7606	97	63.70766854286194	finaltesting30data31
32	7512	93	71.98465371131897	finaltesting30data32
33	8110	99	78.87112021446228	finaltesting30data33
34	7148	89	69.50559949874878	finaltesting30data34
35	6323	85	67.43877243995667	finaltesting30data35
36	7402	99	65.76215291023254	finaltesting30data36
37	7832	97	70.04903721809387	finaltesting30data37
38	7772	99	74.96856594085693	finaltesting30data38
39	6324	81	67.95332455635071	finaltesting30data39
40	8181	95	68.11753058433533	finaltesting30data40
41	7657	95	88.45287418365479	finaltesting30data41
42	7147	89	64.03245115280151	finaltesting30data42
43	7758	95	75.11689829826355	finaltesting30data43
44	7530	97	76.8918046951294	finaltesting30data44
45	6961	97	66.3726167678833	finaltesting30data45
46	7809	97	67.3657968044281	finaltesting30data46
47	7731	99	65.31687927246094	finaltesting30data47
48	3127	42	10.797518014907837	finaltesting30data48
49	7928	97	77.24851131439209	finaltesting30data49
50	7427	97	56.46114253997803	finaltesting30data50
51	7611	97	68.30170631408691	finaltesting30data51
52	7905	99	68.9386899471283	finaltesting30data52
53	7497	97	68.97424650192261	finaltesting30data53
54	7921	99	59.690454721450806	finaltesting30data54
55	8124	97	87.83350038528442	finaltesting30data55
56	7988	99	62.662195444107056	finaltesting30data56
57	7255	95	73.93782830238342	finaltesting30data57
58	7884	97	69.77121019363403	finaltesting30data58
59	7197	91	65.92475295066833	finaltesting30data59
60	7650	97	83.52385401725769	finaltesting30data60
61	6917	93	69.63502931594849	finaltesting30data61
62	7309	97	75.75695514678955	finaltesting30data62
63	7572	97	71.74403476715088	finaltesting30data63
64	7428	91	76.91603398323059	finaltesting30data64
65	8584	99	92.50946998596191	finaltesting30data65
66	7394	93	60.024526834487915	finaltesting30data66
67	7513	97	65.300283908844	finaltesting30data67
68	7929	97	75.30721187591553	finaltesting30data68
69	6316	77	65.5258264541626	finaltesting30data69
70	7667	99	75.19221806526184	finaltesting30data70
71	7853	97	70.366868019104	finaltesting30data71
72	7353	97	65.74423503875732	finaltesting30data72
73	7888	99	75.42936992645264	finaltesting30data73
74	8062	95	72.75385618209839	finaltesting30data74
75	6915	95	66.18202185630798	finaltesting30data75
76	7618	97	64.97504544258118	finaltesting30data76
77	7809	99	63.7529833316803	finaltesting30data77
78	7176	93	73.49555110931396	finaltesting30data78
79	7668	97	70.0186562538147	finaltesting30data79
80	6909	95	68.33590960502625	finaltesting30data80
81	5052	65	39.88031077384949	finaltesting30data81
82	7453	97	72.67221260070801	finaltesting30data82
83	7284	93	76.88051176071167	finaltesting30data83
84	7199	91	68.91678237915039	finaltesting30data84
85	7493	99	63.12002968788147	finaltesting30data85
86	8052	97	85.87309217453003	finaltesting30data86
87	6891	85	75.13113379478455	finaltesting30data87
88	7530	95	83.24240350723267	finaltesting30data88
89	7698	97	66.29215168952942	finaltesting30data89
90	7956	99	67.36394214630127	finaltesting30data90
91	7491	93	71.85187292098999	finaltesting30data91
92	7511	97	86.83534622192383	finaltesting30data92
93	8029	97	62.80738806724548	finaltesting30data93
94	7240	95	67.27214980125427	finaltesting30data94
95	8014	95	62.43492293357849	finaltesting30data95
96	7471	99	84.32906246185303	finaltesting30data96
97	7290	93	80.43261671066284	finaltesting30data97
98	7004	93	71.72107529640198	finaltesting30data98
99	7182	93	64.80455708503723	finaltesting30data99
