Frame Number	Computation Time
0	848800
1	210500
2	164900
3	112800
4	395500
5	123300
6	105800
7	129500
8	151600
9	110800
10	102000
11	471300
12	660000
13	94700
14	102000
15	105700
16	98900
17	112700
18	117300
19	106300
20	114300
21	320900
22	133500
23	209000
24	108700
25	121500
26	102500
27	137000
28	106900
29	109200
30	114900
31	111900
32	199600
33	109500
34	95800
35	100000
36	103200
37	387700
38	252500
39	151700
40	154200
41	102700
42	160500
43	149900
44	127300
45	102700
46	156200
47	216000
48	263100
49	73600
50	74900
51	86400
52	72600
53	72500
54	75400
55	84900
56	69700
57	95900
58	75400
59	87800
60	76500
61	70800
62	71200
63	146200
64	112400
65	70600
66	77300
67	84400
68	79700
69	81500
70	140000
71	178000
72	99400
73	77700
74	81000
75	80900
76	91800
77	75000
78	91200
79	83200
80	118600
81	73700
82	72800
83	217600
84	75200
85	77800
86	75900
87	84200
88	90800
89	76600
90	84900
91	102700
92	78700
93	87500
94	68100
95	75100
96	78700
97	177700
98	297300
99	95200
100	135100
101	97700
102	242900
103	1130700
104	123000
105	81700
106	75400
107	168300
108	73300
109	79600
110	77800
111	164100
112	102400
113	77000
114	75100
115	117900
116	76500
117	73000
118	75300
119	79500
120	76300
121	125600
122	270600
123	76600
124	75800
125	76800
126	144200
127	89800
128	133800
129	75300
130	78400
131	66300
132	82500
133	125500
134	234900
135	116300
136	102400
137	71400
138	149600
139	75700
140	68800
141	68700
142	65400
143	101000
144	106700
145	65200
146	63000
147	314000
148	343000
149	282900
150	108000
151	261600
152	333600
153	92200
154	100100
155	122900
156	81500
157	82900
158	110000
159	120200
160	96700
161	170700
162	288200
163	88500
164	181500
165	114800
166	122400
167	91700
168	87000
169	84100
170	80300
171	75800
172	205300
173	103000
174	74600
175	97600
176	275700
177	332900
178	91500
179	122500
180	199300
181	96300
182	97600
183	106200
184	191200
185	99400
186	96100
187	115400
188	171700
189	92400
190	92500
191	100200
192	258200
193	309000
194	187300
195	118900
196	89500
197	120000
198	84700
199	109500
200	129100
201	100500
202	104300
203	250200
204	125800
205	83000
206	142700
207	118100
208	161800
209	95600
210	114500
211	139000
212	106200
213	85800
214	101800
215	106400
216	78700
217	78000
218	189500
219	90400
220	100700
221	103000
222	187100
223	158200
224	84900
225	90500
226	95000
227	131800
228	84800
229	85600
230	183800
231	341600
232	283200
233	125200
234	206500
235	125500
236	96100
237	203500
238	117200
239	105700
240	103700
241	219200
242	101900
243	94600
244	99100
245	260700
246	349300
247	2141300
248	267100
249	399700
250	314400
251	214600
252	390700
253	553600
254	155500
255	339000
256	109700
257	121400
258	84400
259	77400
260	440500
261	123900
262	105200
263	68900
264	80700
265	270800
266	73500
267	89800
268	116500
269	101800
270	75900
271	85100
272	135800
273	76000
274	74600
275	136100
276	73100
277	108700
278	101900
279	76800
280	97800
281	147000
282	71800
283	74000
284	77800
285	80600
286	102500
287	69600
288	71000
289	83500
290	73400
291	84700
292	78300
293	113100
294	108600
295	96000
296	84200
297	324500
298	338300
299	108100
300	104200
301	112400
302	888900
303	967800
304	121000
305	776600
306	111700
307	205200
308	90200
309	110800
310	246700
311	110000
312	98100
313	102300
314	140700
315	92900
316	114400
317	92100
318	231800
319	94500
320	98500
321	251600
322	103100
323	97800
324	130600
325	352100
326	110700
327	109500
328	99900
329	138000
330	100800
331	143900
332	93200
333	147100
334	96600
335	93000
336	90600
337	111600
338	100400
339	91500
340	105800
341	104200
342	93800
343	98800
344	89600
345	223000
346	97800
347	105400
348	95700
349	106800
350	136700
351	99900
352	305600
353	325900
354	118400
355	276900
356	321600
357	5847200
358	130700
359	88900
360	357700
361	84400
362	223500
363	92400
364	79900
365	90000
366	255400
367	91800
368	123400
369	183100
370	85700
371	114900
372	88600
373	99100
374	91300
375	93700
376	84500
377	153700
378	83100
379	250100
380	381500
381	83100
382	327300
383	90000
384	131100
385	73800
386	75000
387	152800
388	112600
389	90500
390	76400
391	84000
392	88200
393	85200
394	153100
395	164900
396	72300
397	71200
398	84900
399	75400
400	85900
401	77000
402	83900
403	74900
404	83800
405	90200
406	88000
407	78700
408	71900
409	114000
410	80700
411	85900
412	82000
413	84100
414	198000
415	77200
416	98600
417	285900
418	80500
419	91600
420	157600
421	85100
422	114100
423	140600
424	164100
425	123400
426	117000
427	171300
428	187400
429	167100
430	139900
431	222000
432	85400
433	216100
434	403600
435	707300
436	577500
437	2548000
438	139300
439	353100
440	158300
441	120900
442	91700
443	120800
444	98700
445	96300
446	96900
447	245000
448	93700
449	97200
450	107000
451	211500
452	96600
453	99000
454	90600
455	142500
456	92100
457	97400
458	209000
459	186200
460	142500
461	113600
462	279900
463	359900
464	344700
465	544000
466	217800
467	104400
468	93100
469	270300
470	510300
471	143400
472	146700
473	96700
474	112200
475	80900
476	120200
477	84800
478	127600
479	87900
480	240900
481	172400
482	75700
483	195700
484	126300
485	80500
486	112700
487	180300
488	76500
489	112400
490	73000
491	212200
492	79600
493	78300
494	127200
495	165900
496	104000
497	87600
498	67000
499	77200
500	242900
501	366000
502	337200
503	150800
504	252500
505	166300
506	2113900
507	3732800
508	148700
509	130500
510	109500
511	95700
512	112300
513	308600
514	1164400
515	161300
516	200300
517	235000
518	106100
519	90500
520	349500
521	98600
522	96200
523	266200
524	99100
525	92500
526	103800
527	110600
528	116700
529	101600
530	96700
531	125100
532	112000
533	106600
534	89600
535	107200
536	98700
537	98500
538	100700
539	167600
540	90100
541	94700
542	112500
543	117100
544	140200
545	96400
546	161500
547	94100
548	106400
549	144100
550	104000
551	97300
552	106700
553	256700
554	1203300
555	369300
556	114500
557	139500
558	100400
559	96300
560	115600
561	272500
562	894100
563	117100
564	96100
565	430300
566	105000
567	100000
568	585100
569	1100600
570	119800
571	516500
572	1396300
573	190900
574	170700
575	100200
576	91000
577	584100
578	643400
579	105600
580	115000
581	95900
582	404100
583	292700
584	471900
585	344500
586	472200
587	1942600
588	77500
589	314200
590	78900
591	226700
592	218700
593	74300
594	71200
595	213600
596	82900
597	76500
598	96700
599	120400
600	178300
601	79500
602	76300
603	86400
604	77100
605	84600
606	95600
607	81400
608	79200
609	74400
610	184600
611	244100
612	477300
613	128100
614	196900
615	248200
616	161900
617	277200
618	605400
619	183200
620	150100
621	201700
622	95300
623	115200
624	290900
625	96800
626	92800
627	88900
628	184600
629	98700
630	97400
631	92800
632	105700
633	93000
634	92000
635	96500
636	98000
637	140700
638	96800
639	112600
640	96000
641	153100
642	94100
643	224300
644	96900
645	93800
646	90700
647	102500
648	237600
649	582000
650	96300
651	126700
652	701100
653	1274800
654	145000
655	83200
656	70300
657	163500
658	75900
659	77500
660	64200
661	62700
662	217400
663	67200
664	68600
665	178900
666	108300
667	69800
668	75100
669	132700
670	70700
671	96500
672	68600
673	195900
674	72900
675	72100
676	64800
677	87400
678	73800
679	79400
680	72100
681	255800
682	579700
683	254200
684	109400
685	301100
686	1199100
687	84700
688	94400
689	241100
690	785800
691	207900
692	169900
693	117500
694	358300
695	101300
696	100900
697	296900
698	562900
699	196000
700	129700
701	81400
702	131700
703	159800
704	89500
705	94400
706	103300
707	79200
708	102200
709	148200
710	90900
711	81300
712	94100
713	100200
714	98700
715	258600
716	2503000
717	84900
718	163800
719	93600
720	297900
721	86400
722	87600
723	210500
724	223500
725	100000
726	93700
727	276300
728	89100
729	86900
730	232300
731	93000
732	83400
733	89600
734	91800
735	92500
736	94500
737	96400
738	83500
739	201400
740	117800
741	112100
742	83300
743	131000
744	97700
745	87700
746	89800
747	93700
748	116400
749	95900
750	127700
751	95700
752	105400
753	176000
754	85200
755	96700
756	265700
757	441700
758	116300
759	135200
760	224300
761	129900
762	229000
763	98400
764	98500
765	118300
766	455600
767	1136800
768	119800
769	273800
770	110000
771	94500
772	84600
773	81100
774	87600
775	70700
776	238000
777	72200
778	141100
779	178800
780	84200
781	75200
782	84700
783	179900
784	77900
785	115400
786	97600
787	92100
788	116300
789	86000
790	86400
791	83500
792	70900
793	69900
794	75200
795	79800
796	71900
797	74400
798	69500
799	79100
800	90700
801	73700
802	144700
803	91400
804	71900
805	70500
806	121800
807	78800
808	264200
809	441900
810	98500
811	112000
812	315100
813	170000
814	198600
815	106700
816	103100
817	92800
818	146000
819	95400
820	93700
821	197400
822	186500
823	96500
824	104700
825	398400
826	126100
827	102000
828	105200
829	246300
830	1234300
831	82000
832	89400
833	123800
834	198400
835	69700
836	186300
837	82200
838	100200
839	114400
840	70100
841	65700
842	72800
843	150900
844	71900
845	86200
846	156400
847	74900
848	113000
849	69600
850	98000
851	73900
852	66700
853	83900
854	84700
855	69400
856	65700
857	71400
858	181400
859	86900
860	87600
861	65100
862	110300
863	71900
864	96600
865	64900
866	75800
867	71500
868	65800
869	73100
870	76700
871	81800
872	73000
873	69200
874	287200
875	1368000
876	104300
877	120600
878	415400
879	3681500
880	173800
881	76700
882	318400
883	74100
884	261400
885	77200
886	71600
887	93200
888	82400
889	71300
890	72000
891	153400
892	103200
893	78900
894	70100
895	71800
896	82100
897	70700
898	73800
899	72000
900	149400
