Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	3432	57	7.331819057	normal1.5data0
1	4469	71	8.723997355	normal1.5data1
2	3575	56	6.292557478	normal1.5data2
3	3858	63	5.598596573	normal1.5data3
4	3992	62	8.054755449	normal1.5data4
5	4273	67	8.323088646	normal1.5data5
6	4835	71	11.00554848	normal1.5data6
7	3820	61	6.473424196	normal1.5data7
8	3961	60	6.360754013	normal1.5data8
9	4379	64	11.82416606	normal1.5data9
10	4242	67	9.441103697	normal1.5data10
11	4056	64	7.807119846	normal1.5data11
12	4934	73	11.09873557	normal1.5data12
13	3873	62	6.806221247	normal1.5data13
14	4116	65	7.405766726	normal1.5data14
15	3452	57	8.43068099	normal1.5data15
16	4976	75	15.20035338	normal1.5data16
17	3945	66	9.305370569	normal1.5data17
18	4728	71	9.519695282	normal1.5data18
19	3944	59	8.097638369	normal1.5data19
20	4137	59	9.182008028	normal1.5data20
21	5002	78	15.16892338	normal1.5data21
22	3319	55	7.454717398	normal1.5data22
23	5367	74	13.10920787	normal1.5data23
24	4321	61	11.7115891	normal1.5data24
25	4803	73	14.40447688	normal1.5data25
26	3792	61	8.7135818	normal1.5data26
27	3833	59	6.331057549	normal1.5data27
28	4221	66	12.15198374	normal1.5data28
29	4583	66	12.33669567	normal1.5data29
30	3553	57	6.563077211	normal1.5data30
31	3998	62	8.022260427	normal1.5data31
32	3437	57	6.654189825	normal1.5data32
33	4347	69	11.26904011	normal1.5data33
34	4112	60	10.94487929	normal1.5data34
35	4042	59	7.875901222	normal1.5data35
36	4077	60	9.078253269	normal1.5data36
37	3830	58	5.657421827	normal1.5data37
38	4455	64	8.759903193	normal1.5data38
39	3946	61	11.60071087	normal1.5data39
40	3467	57	9.163844109	normal1.5data40
41	3749	55	5.300687313	normal1.5data41
42	3606	56	7.131384134	normal1.5data42
43	4645	72	14.50460243	normal1.5data43
44	4346	66	7.269712448	normal1.5data44
45	4900	77	17.64288187	normal1.5data45
46	4495	71	15.33277059	normal1.5data46
47	4246	66	9.042948246	normal1.5data47
48	5083	76	16.27439165	normal1.5data48
49	4622	69	11.75356102	normal1.5data49
	4183.88	64.3	9.670161109	
	493.3730898	6.395948973	3.090196058	
