Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	7291	99	166.9269381	thinkgap8data0
1	7537	95	164.0426402	thinkgap8data1
2	7940	97	176.18712	thinkgap8data2
3	8019	97	118.547744	thinkgap8data3
4	7230	95	103.3601549	thinkgap8data4
5	7844	95	138.9878168	thinkgap8data5
6	8612	99	145.002317	thinkgap8data6
7	7656	97	119.7580998	thinkgap8data7
8	6907	97	118.6569166	thinkgap8data8
9	7519	97	126.8666003	thinkgap8data9
10	7459	97	134.7129328	thinkgap8data10
11	6944	89	148.7264514	thinkgap8data11
12	7978	97	148.9976189	thinkgap8data12
13	7679	99	142.3763852	thinkgap8data13
14	7453	97	135.0846295	thinkgap8data14
15	7676	95	127.4048417	thinkgap8data15
16	8071	99	125.1045244	thinkgap8data16
17	7559	97	140.4516385	thinkgap8data17
18	7377	91	129.8216841	thinkgap8data18
19	8108	95	155.7527564	thinkgap8data19
20	8309	97	153.9417369	thinkgap8data20
21	7798	97	119.4834042	thinkgap8data21
22	8206	97	156.677429	thinkgap8data22
23	7278	99	121.5571115	thinkgap8data23
24	8112	97	143.2127039	thinkgap8data24
25	8185	99	142.8946922	thinkgap8data25
26	8106	97	160.013761	thinkgap8data26
27	7667	99	120.3803806	thinkgap8data27
28	7834	97	135.4201958	thinkgap8data28
29	6790	89	119.9808142	thinkgap8data29
30	7322	95	128.5587835	thinkgap8data30
31	7198	95	115.3915095	thinkgap8data31
32	8100	99	132.8286293	thinkgap8data32
33	6788	87	126.0321155	thinkgap8data33
34	8116	99	128.5719836	thinkgap8data34
35	6631	87	100.8204281	thinkgap8data35
36	7795	95	123.1039379	thinkgap8data36
37	8000	97	107.2633414	thinkgap8data37
38	5005	65	73.26075125	thinkgap8data38
39	8128	97	156.1434712	thinkgap8data39
40	8153	99	125.5658226	thinkgap8data40
41	8462	99	122.7155375	thinkgap8data41
42	7047	90	128.2048566	thinkgap8data42
43	7755	99	165.8505259	thinkgap8data43
44	7611	91	137.8581033	thinkgap8data44
45	8121	99	143.2997234	thinkgap8data45
46	7529	99	121.6881161	thinkgap8data46
47	7387	95	148.8457112	thinkgap8data47
48	8241	99	192.3067966	thinkgap8data48
49	5952	73	161.8937843	thinkgap8data49
	7609.7	95.02	135.6107194	
	642.615137	6.306750514	20.99662218	
