Trial Number	Score	Moogles Eaten	Time Taken	Data Location
0	7765	99	161.1806047	thisisitdata0
1	8195	99	167.0787363	thisisitdata1
2	7343	97	114.0922108	thisisitdata2
3	8053	99	142.5507324	thisisitdata3
4	6848	97	153.7277389	thisisitdata4
5	7853	99	127.2110257	thisisitdata5
6	8238	99	147.1075222	thisisitdata6
7	7978	99	156.6173108	thisisitdata7
8	5701	68	82.97289515	thisisitdata8
9	8005	97	133.6818407	thisisitdata9
10	7287	99	119.4355807	thisisitdata10
11	7254	97	137.1096995	thisisitdata11
12	4091	54	64.09917498	thisisitdata12
13	7556	97	128.6387722	thisisitdata13
14	6550	81	141.5488563	thisisitdata14
15	7547	97	132.5909159	thisisitdata15
16	7834	97	125.3705704	thisisitdata16
17	7642	95	150.8301744	thisisitdata17
18	7789	99	139.6082869	thisisitdata18
19	7750	99	114.4523935	thisisitdata19
20	7005	93	106.7345011	thisisitdata20
21	5879	72	105.3808284	thisisitdata21
22	7053	93	116.5908031	thisisitdata22
23	8075	99	165.7198915	thisisitdata23
24	8321	95	111.1391857	thisisitdata24
25	7631	95	161.818866	thisisitdata25
26	7186	95	138.0032372	thisisitdata26
27	7969	99	141.752192	thisisitdata27
28	7887	99	95.17311406	thisisitdata28
29	7522	97	150.5212638	thisisitdata29
30	8216	99	128.4649031	thisisitdata30
31	7110	93	140.4143586	thisisitdata31
32	7637	99	116.6653838	thisisitdata32
33	7899	93	161.4977202	thisisitdata33
34	7413	95	171.2151284	thisisitdata34
35	7415	97	172.2978485	thisisitdata35
36	7106	93	136.0337014	thisisitdata36
37	7799	97	134.4213612	thisisitdata37
38	6300	81	98.73092103	thisisitdata38
39	7641	99	116.4306788	thisisitdata39
40	4368	60	67.67516208	thisisitdata40
41	7742	97	135.8796237	thisisitdata41
42	7380	97	150.4606488	thisisitdata42
43	6899	92	133.701443	thisisitdata43
44	6249	81	167.5758758	thisisitdata44
45	7313	97	154.0478072	thisisitdata45
46	7890	99	143.6444359	thisisitdata46
47	5967	75	87.19457054	thisisitdata47
48	7053	93	179.3764007	thisisitdata48
49	6023	70	115.0351949	thisisitdata49
	7264.54	92.24	132.8700419	
	900.0101181	10.8205398	26.49414204	
