Trial Number	Score
0	426
1	181
2	286
3	241
4	357
5	159
6	264
7	411
8	284
9	225
10	413
11	249
12	549
13	122
14	199
15	570
16	548
17	464
18	320
19	139
20	301
21	238
22	326
23	616
24	129
25	449
26	267
27	343
28	190
29	274
30	581
31	702
32	152
33	295
34	383
35	734
36	410
37	733
38	874
39	662
40	513
41	489
42	160
43	475
44	94
45	189
46	187
47	90
48	289
49	293
50	421
51	233
52	167
53	237
54	190
55	340
56	780
57	317
58	342
59	430
60	383
61	157
62	435
63	147
64	156
65	394
66	281
67	359
68	107
69	514
70	250
71	231
72	192
73	153
74	510
75	160
76	254
77	175
78	306
79	183
80	150
81	831
82	96
83	109
84	528
85	379
86	409
87	96
88	289
89	506
90	582
91	266
92	297
93	937
94	261
95	152
96	318
97	511
98	190
99	378
100	419
101	193
102	312
103	548
104	133
105	160
106	752
107	123
108	386
109	282
110	359
111	157
112	176
113	116
114	540
115	229
116	169
117	448
118	136
119	193
120	137
121	205
122	112
123	265
124	165
125	276
126	631
127	550
128	334
129	299
130	141
131	340
132	717
133	205
134	245
135	348
136	565
137	411
138	302
139	259
140	114
141	586
142	131
143	129
144	169
145	244
146	326
147	131
148	151
149	374
150	333
151	327
152	164
153	740
154	515
155	223
156	186
157	517
158	633
159	676
160	330
161	144
162	326
163	214
164	170
165	254
166	336
167	230
168	167
169	373
170	225
171	182
172	547
173	677
174	219
175	268
176	314
177	392
178	345
179	143
180	575
181	325
182	422
183	435
184	240
185	166
186	152
187	663
188	567
189	263
190	467
191	176
192	376
193	173
194	329
195	338
196	174
197	803
198	184
199	247
200	512
201	208
202	511
203	180
204	277
205	732
206	117
207	137
208	317
209	289
210	138
211	626
212	664
213	127
214	219
215	597
216	279
217	200
218	427
219	335
220	171
221	270
222	565
223	616
224	536
225	474
226	158
227	226
228	339
229	383
230	97
231	383
232	398
233	651
234	217
235	222
236	417
237	106
238	278
239	131
240	166
241	343
242	399
243	188
244	430
245	609
246	354
247	96
248	179
249	226
250	314
251	329
252	152
253	720
254	173
255	208
256	422
257	274
258	343
259	178
260	195
261	265
262	582
263	315
264	357
265	120
266	184
267	128
268	466
269	268
270	162
271	279
272	151
273	782
274	435
275	714
276	210
277	407
278	506
279	719
280	177
281	313
282	181
283	208
284	282
285	296
286	615
287	273
288	342
289	719
290	268
291	240
292	318
293	723
294	595
295	263
296	296
297	130
298	230
299	253
300	502
301	549
302	505
303	135
304	394
305	373
306	538
307	204
308	363
309	375
310	468
311	525
312	221
313	311
314	108
315	156
316	515
317	313
318	161
319	278
320	298
321	327
322	505
323	451
324	172
325	394
326	252
327	394
328	523
329	239
330	215
331	350
332	446
333	132
334	346
335	367
336	567
337	343
338	504
339	260
340	400
341	161
342	463
343	347
344	213
345	201
346	111
347	158
348	245
349	224
350	173
351	615
352	425
353	196
354	497
355	807
356	578
357	579
358	690
359	396
360	359
361	339
362	108
363	374
364	495
365	259
366	91
367	347
368	111
369	189
370	398
371	380
372	138
373	375
374	208
375	457
376	396
377	846
378	536
379	314
380	661
381	218
382	412
383	463
384	396
385	232
386	193
387	358
388	170
389	300
390	235
391	145
392	261
393	315
394	115
395	439
396	165
397	323
398	252
399	313
400	209
401	215
402	196
403	168
404	142
405	215
406	444
407	528
408	294
409	139
410	327
411	160
412	241
413	328
414	267
415	320
416	338
417	313
418	202
419	103
420	332
421	430
422	479
423	557
424	561
425	104
426	557
427	390
428	125
429	390
430	224
431	321
432	433
433	377
434	185
435	539
436	233
437	136
438	198
439	175
440	392
441	212
442	172
443	260
444	143
445	179
446	185
447	230
448	508
449	436
450	393
451	208
452	110
453	303
454	488
455	262
456	104
457	357
458	327
459	244
460	127
461	575
462	184
463	408
464	288
465	142
466	509
467	221
468	125
469	508
470	364
471	404
472	518
473	416
474	301
475	779
476	294
477	148
478	329
479	570
480	192
481	834
482	172
483	361
484	226
485	406
486	180
487	984
488	671
489	149
490	342
491	225
492	484
493	275
494	167
495	157
496	765
497	338
498	296
499	175
500	533
501	307
502	391
503	364
504	208
505	198
506	660
507	383
508	225
509	258
510	137
511	324
512	160
513	234
514	123
515	164
516	372
517	657
518	242
519	469
520	154
521	241
522	377
523	378
524	514
525	567
526	502
527	261
528	105
529	110
530	121
531	434
532	558
533	309
534	548
535	304
536	370
537	505
538	172
539	155
540	335
541	440
542	241
543	170
544	224
545	139
546	154
547	532
548	447
549	249
550	457
551	510
552	681
553	415
554	125
555	709
556	211
557	844
558	187
559	660
560	129
561	140
562	189
563	202
564	450
565	182
566	226
567	191
568	501
569	217
570	577
571	249
572	295
573	680
574	200
575	194
576	179
577	457
578	313
579	93
580	263
581	634
582	462
583	289
584	416
585	230
586	231
587	413
588	142
589	194
590	477
591	351
592	361
593	291
594	571
595	421
596	337
597	280
598	325
599	733
600	158
601	515
602	364
603	254
604	562
605	289
606	684
607	633
608	162
609	663
610	129
611	144
612	241
613	532
614	283
615	200
616	389
617	274
618	228
619	195
620	136
621	267
622	128
623	345
624	721
625	439
626	227
627	215
628	364
629	182
630	193
631	262
632	238
633	366
634	143
635	623
636	797
637	490
638	223
639	220
640	286
641	131
642	237
643	310
644	194
645	247
646	241
647	388
648	123
649	410
650	340
651	505
652	316
653	295
654	211
655	165
656	280
657	423
658	178
659	299
660	286
661	201
662	117
663	644
664	195
665	257
666	328
667	190
668	140
669	229
670	558
671	106
672	459
673	169
674	264
675	505
676	347
677	162
678	570
679	252
680	137
681	263
682	313
683	1059
684	666
685	102
686	172
687	499
688	123
689	367
690	160
691	146
692	110
693	570
694	197
695	406
696	400
697	299
698	414
699	233
700	109
701	357
702	581
703	317
704	301
705	229
706	97
707	328
708	317
709	98
710	208
711	518
712	667
713	262
714	565
715	741
716	212
717	146
718	225
719	141
720	241
721	280
722	203
723	503
724	406
725	454
726	256
727	779
728	311
729	416
730	114
731	305
732	193
733	193
734	442
735	609
736	347
737	666
738	559
739	317
740	440
741	846
742	522
743	330
744	643
745	139
746	116
747	205
748	545
749	156
750	196
751	446
752	301
753	183
754	132
755	534
756	418
757	135
758	233
759	357
760	239
761	311
762	181
763	139
764	160
765	166
766	124
767	271
768	229
769	392
770	148
771	149
772	404
773	377
774	484
775	318
776	270
777	329
778	158
779	339
780	318
781	630
782	195
783	198
784	148
785	177
786	163
787	397
788	222
789	162
790	649
791	198
792	412
793	154
794	365
795	481
796	537
797	529
798	342
799	251
800	304
801	179
802	338
803	271
804	364
805	407
806	192
807	166
808	222
809	628
810	207
811	303
812	171
813	345
814	289
815	277
816	176
817	619
818	338
819	662
820	205
821	547
822	222
823	345
824	686
825	691
826	383
827	250
828	287
829	186
830	254
831	119
832	332
833	498
834	174
835	175
836	390
837	165
838	321
839	200
840	101
841	232
842	202
843	243
844	446
845	298
846	448
847	617
848	343
849	703
850	150
851	232
852	698
853	371
854	261
855	321
856	299
857	373
858	179
859	522
860	163
861	256
862	343
863	152
864	290
865	239
866	201
867	332
868	660
869	203
870	185
871	545
872	200
873	657
874	391
875	308
876	225
877	87
878	110
879	116
880	177
881	336
882	510
883	816
884	435
885	271
886	402
887	97
888	196
889	464
890	531
891	352
892	688
893	317
894	720
895	445
896	182
897	112
898	733
899	549
900	138
901	260
902	126
903	311
904	371
905	214
906	452
907	149
908	228
909	665
910	684
911	322
912	140
913	581
914	588
915	159
916	127
917	312
918	464
919	302
920	155
921	237
922	446
923	475
924	278
925	375
926	482
927	135
928	413
929	540
930	532
931	326
932	331
933	342
934	204
935	210
936	316
937	572
938	134
939	196
940	93
941	152
942	234
943	181
944	674
945	450
946	779
947	187
948	451
949	164
950	189
951	142
952	139
953	346
954	296
955	368
956	180
957	351
958	431
959	298
960	157
961	183
962	223
963	600
964	405
965	117
966	185
967	129
968	681
969	326
970	461
971	252
972	566
973	171
974	624
975	478
976	353
977	392
978	414
979	175
980	251
981	225
982	130
983	329
984	253
985	410
986	283
987	321
988	446
989	281
990	1040
991	524
992	231
993	318
994	450
995	136
996	268
997	208
998	351
999	162
